t,popsize,population,resource input
0.001,1.00013,N0,50
0.001,1.00006,N1,50
0.0564053,1.00761,N0,50
0.0564053,1.00362,N1,50
0.127913,1.01733,N0,50
0.127913,1.00822,N1,50
0.167286,1.02273,N0,50
0.167286,1.01076,N1,50
0.218472,1.02978,N0,50
0.218472,1.01408,N1,50
0.285014,1.03903,N0,50
0.285014,1.01841,N1,50
0.371518,1.05117,N0,50
0.371518,1.02406,N1,50
0.483973,1.06717,N0,50
0.483973,1.03146,N1,50
0.630165,1.08832,N0,50
0.630165,1.04115,N1,50
0.820215,1.11646,N0,50
0.820215,1.0539,N1,50
1.05576,1.15233,N0,50
1.05576,1.0699,N1,50
1.28886,1.18896,N0,50
1.28886,1.08598,N1,50
1.51956,1.22636,N0,50
1.51956,1.10214,N1,50
1.7479,1.26453,N0,50
1.7479,1.11836,N1,50
1.97394,1.30348,N0,50
1.97394,1.13466,N1,50
2.19771,1.34321,N0,50
2.19771,1.15103,N1,50
2.41927,1.38374,N0,50
2.41927,1.16746,N1,50
2.63865,1.42508,N0,50
2.63865,1.18397,N1,50
2.8559,1.46723,N0,50
2.8559,1.20055,N1,50
3.07106,1.51019,N0,50
3.07106,1.21719,N1,50
3.28418,1.55398,N0,50
3.28418,1.23391,N1,50
3.49528,1.59861,N0,50
3.49528,1.25069,N1,50
3.70441,1.64408,N0,50
3.70441,1.26755,N1,50
3.9116,1.6904,N0,50
3.9116,1.28447,N1,50
4.11689,1.73758,N0,50
4.11689,1.30145,N1,50
4.32032,1.78562,N0,50
4.32032,1.31851,N1,50
4.52191,1.83454,N0,50
4.52191,1.33563,N1,50
4.7217,1.88434,N0,50
4.7217,1.35282,N1,50
4.91973,1.93503,N0,50
4.91973,1.37007,N1,50
5.11602,1.98662,N0,50
5.11602,1.38739,N1,50
5.3106,2.03911,N0,50
5.3106,1.40478,N1,50
5.5035,2.09251,N0,50
5.5035,1.42223,N1,50
5.69476,2.14684,N0,50
5.69476,1.43974,N1,50
5.8844,2.20209,N0,50
5.8844,1.45732,N1,50
6.07244,2.25828,N0,50
6.07244,1.47497,N1,50
6.25892,2.31541,N0,50
6.25892,1.49268,N1,50
6.44386,2.3735,N0,50
6.44386,1.51045,N1,50
6.62728,2.43254,N0,50
6.62728,1.52828,N1,50
6.80922,2.49255,N0,50
6.80922,1.54618,N1,50
6.98968,2.55354,N0,50
6.98968,1.56415,N1,50
7.16871,2.61551,N0,50
7.16871,1.58217,N1,50
7.34631,2.67847,N0,50
7.34631,1.60026,N1,50
7.52252,2.74244,N0,50
7.52252,1.61841,N1,50
7.69735,2.8074,N0,50
7.69735,1.63662,N1,50
7.87083,2.87338,N0,50
7.87083,1.65489,N1,50
8.04297,2.94039,N0,50
8.04297,1.67322,N1,50
8.2138,3.00842,N0,50
8.2138,1.69161,N1,50
8.38334,3.07749,N0,50
8.38334,1.71007,N1,50
8.55161,3.14761,N0,50
8.55161,1.72858,N1,50
8.71862,3.21878,N0,50
8.71862,1.74716,N1,50
8.88439,3.29101,N0,50
8.88439,1.7658,N1,50
9.04895,3.36432,N0,50
9.04895,1.78449,N1,50
9.21231,3.43869,N0,50
9.21231,1.80324,N1,50
9.37448,3.51416,N0,50
9.37448,1.82206,N1,50
9.53549,3.59071,N0,50
9.53549,1.84093,N1,50
9.69535,3.66837,N0,50
9.69535,1.85986,N1,50
9.85408,3.74713,N0,50
9.85408,1.87885,N1,50
10.0117,3.82701,N0,50
10.0117,1.8979,N1,50
10.1682,3.90801,N0,50
10.1682,1.91701,N1,50
10.3236,3.99015,N0,50
10.3236,1.93617,N1,50
10.478,4.07342,N0,50
10.478,1.95539,N1,50
10.6313,4.15784,N0,50
10.6313,1.97467,N1,50
10.7835,4.24342,N0,50
10.7835,1.99401,N1,50
10.9348,4.33016,N0,50
10.9348,2.0134,N1,50
11.085,4.41807,N0,50
11.085,2.03285,N1,50
11.2342,4.50716,N0,50
11.2342,2.05236,N1,50
11.3824,4.59743,N0,50
11.3824,2.07192,N1,50
11.5297,4.6889,N0,50
11.5297,2.09154,N1,50
11.676,4.78157,N0,50
11.676,2.11121,N1,50
11.8213,4.87545,N0,50
11.8213,2.13094,N1,50
11.9657,4.97054,N0,50
11.9657,2.15073,N1,50
12.1092,5.06687,N0,50
12.1092,2.17057,N1,50
12.2518,5.16442,N0,50
12.2518,2.19047,N1,50
12.3935,5.26322,N0,50
12.3935,2.21042,N1,50
12.5342,5.36326,N0,50
12.5342,2.23042,N1,50
12.6742,5.46456,N0,50
12.6742,2.25049,N1,50
12.8132,5.56713,N0,50
12.8132,2.2706,N1,50
12.9514,5.67096,N0,50
12.9514,2.29077,N1,50
13.0887,5.77608,N0,50
13.0887,2.31099,N1,50
13.2252,5.88248,N0,50
13.2252,2.33127,N1,50
13.3609,5.99018,N0,50
13.3609,2.3516,N1,50
13.4957,6.09919,N0,50
13.4957,2.37198,N1,50
13.6298,6.2095,N0,50
13.6298,2.39242,N1,50
13.763,6.32113,N0,50
13.763,2.41291,N1,50
13.8955,6.43409,N0,50
13.8955,2.43345,N1,50
14.0272,6.54839,N0,50
14.0272,2.45405,N1,50
14.1581,6.66402,N0,50
14.1581,2.4747,N1,50
14.2883,6.78101,N0,50
14.2883,2.4954,N1,50
14.4177,6.89935,N0,50
14.4177,2.51615,N1,50
14.5463,7.01906,N0,50
14.5463,2.53696,N1,50
14.6743,7.14015,N0,50
14.6743,2.55781,N1,50
14.8015,7.26261,N0,50
14.8015,2.57872,N1,50
14.928,7.38646,N0,50
14.928,2.59968,N1,50
15.0537,7.51171,N0,50
15.0537,2.62069,N1,50
15.1788,7.63837,N0,50
15.1788,2.64176,N1,50
15.3032,7.76644,N0,50
15.3032,2.66287,N1,50
15.4269,7.89592,N0,50
15.4269,2.68403,N1,50
15.5499,8.02684,N0,50
15.5499,2.70525,N1,50
15.6723,8.15919,N0,50
15.6723,2.72652,N1,50
15.7939,8.29299,N0,50
15.7939,2.74783,N1,50
15.915,8.42823,N0,50
15.915,2.7692,N1,50
16.0353,8.56494,N0,50
16.0353,2.79062,N1,50
16.1551,8.70311,N0,50
16.1551,2.81208,N1,50
16.2742,8.84276,N0,50
16.2742,2.8336,N1,50
16.3927,8.98389,N0,50
16.3927,2.85517,N1,50
16.5105,9.12651,N0,50
16.5105,2.87678,N1,50
16.6277,9.27063,N0,50
16.6277,2.89845,N1,50
16.7444,9.41625,N0,50
16.7444,2.92016,N1,50
16.8604,9.56339,N0,50
16.8604,2.94193,N1,50
16.9758,9.71205,N0,50
16.9758,2.96374,N1,50
17.0906,9.86224,N0,50
17.0906,2.9856,N1,50
17.2049,10.014,N0,50
17.2049,3.00751,N1,50
17.3186,10.1672,N0,50
17.3186,3.02947,N1,50
17.4316,10.3221,N0,50
17.4316,3.05148,N1,50
17.5442,10.4785,N0,50
17.5442,3.07353,N1,50
17.6561,10.6364,N0,50
17.6561,3.09564,N1,50
17.7676,10.7959,N0,50
17.7676,3.11779,N1,50
17.8784,10.957,N0,50
17.8784,3.13999,N1,50
17.9887,11.1198,N0,50
17.9887,3.16223,N1,50
18.0985,11.2841,N0,50
18.0985,3.18453,N1,50
18.2078,11.45,N0,50
18.2078,3.20687,N1,50
18.3165,11.6175,N0,50
18.3165,3.22926,N1,50
18.4247,11.7867,N0,50
18.4247,3.2517,N1,50
18.5323,11.9574,N0,50
18.5323,3.27418,N1,50
18.6395,12.1299,N0,50
18.6395,3.29671,N1,50
18.7461,12.3039,N0,50
18.7461,3.31929,N1,50
18.8523,12.4796,N0,50
18.8523,3.34192,N1,50
18.9579,12.657,N0,50
18.9579,3.36459,N1,50
19.0631,12.8361,N0,50
19.0631,3.38731,N1,50
19.1677,13.0168,N0,50
19.1677,3.41007,N1,50
19.2719,13.1992,N0,50
19.2719,3.43288,N1,50
19.3756,13.3833,N0,50
19.3756,3.45574,N1,50
19.4788,13.5691,N0,50
19.4788,3.47864,N1,50
19.5815,13.7567,N0,50
19.5815,3.50159,N1,50
19.6838,13.9459,N0,50
19.6838,3.52458,N1,50
19.7856,14.1369,N0,50
19.7856,3.54762,N1,50
19.8869,14.3295,N0,50
19.8869,3.57071,N1,50
19.9878,14.524,N0,50
19.9878,3.59384,N1,50
20.0883,14.7202,N0,50
20.0883,3.61702,N1,50
20.1883,14.9181,N0,50
20.1883,3.64024,N1,50
20.2878,15.1178,N0,50
20.2878,3.66351,N1,50
20.3869,15.3193,N0,50
20.3869,3.68682,N1,50
20.4856,15.5225,N0,50
20.4856,3.71017,N1,50
20.5838,15.7275,N0,50
20.5838,3.73358,N1,50
20.6817,15.9344,N0,50
20.6817,3.75702,N1,50
20.7791,16.143,N0,50
20.7791,3.78051,N1,50
20.876,16.3534,N0,50
20.876,3.80405,N1,50
20.9726,16.5657,N0,50
20.9726,3.82763,N1,50
21.0687,16.7798,N0,50
21.0687,3.85125,N1,50
21.1644,16.9957,N0,50
21.1644,3.87492,N1,50
21.2598,17.2135,N0,50
21.2598,3.89863,N1,50
21.3547,17.4331,N0,50
21.3547,3.92238,N1,50
21.4492,17.6545,N0,50
21.4492,3.94618,N1,50
21.5433,17.8779,N0,50
21.5433,3.97003,N1,50
21.6371,18.1031,N0,50
21.6371,3.99391,N1,50
21.7304,18.3302,N0,50
21.7304,4.01784,N1,50
21.8233,18.5591,N0,50
21.8233,4.04182,N1,50
21.9159,18.79,N0,50
21.9159,4.06583,N1,50
22.0081,19.0228,N0,50
22.0081,4.08989,N1,50
22.0999,19.2575,N0,50
22.0999,4.114,N1,50
22.1914,19.4941,N0,50
22.1914,4.13814,N1,50
22.2824,19.7326,N0,50
22.2824,4.16233,N1,50
22.3731,19.9731,N0,50
22.3731,4.18656,N1,50
22.4635,20.2155,N0,50
22.4635,4.21084,N1,50
22.5534,20.4598,N0,50
22.5534,4.23516,N1,50
22.6431,20.7061,N0,50
22.6431,4.25952,N1,50
22.7323,20.9544,N0,50
22.7323,4.28392,N1,50
22.8212,21.2047,N0,50
22.8212,4.30836,N1,50
22.9098,21.4569,N0,50
22.9098,4.33285,N1,50
22.998,21.7111,N0,50
22.998,4.35738,N1,50
23.0858,21.9673,N0,50
23.0858,4.38195,N1,50
23.1734,22.2256,N0,50
23.1734,4.40656,N1,50
23.2605,22.4858,N0,50
23.2605,4.43122,N1,50
23.3474,22.7481,N0,50
23.3474,4.45591,N1,50
23.4339,23.0124,N0,50
23.4339,4.48065,N1,50
23.5201,23.2787,N0,50
23.5201,4.50543,N1,50
23.6059,23.5471,N0,50
23.6059,4.53025,N1,50
23.6914,23.8175,N0,50
23.6914,4.55511,N1,50
23.7766,24.09,N0,50
23.7766,4.58002,N1,50
23.8615,24.3645,N0,50
23.8615,4.60496,N1,50
23.946,24.6411,N0,50
23.946,4.62995,N1,50
24.0303,24.9198,N0,50
24.0303,4.65498,N1,50
24.1142,25.2006,N0,50
24.1142,4.68005,N1,50
24.1978,25.4835,N0,50
24.1978,4.70516,N1,50
24.2811,25.7685,N0,50
24.2811,4.73031,N1,50
24.3641,26.0556,N0,50
24.3641,4.7555,N1,50
24.4468,26.3449,N0,50
24.4468,4.78073,N1,50
24.5291,26.6362,N0,50
24.5291,4.806,N1,50
24.6112,26.9297,N0,50
24.6112,4.83131,N1,50
24.693,27.2254,N0,50
24.693,4.85667,N1,50
24.7745,27.5232,N0,50
24.7745,4.88206,N1,50
24.8557,27.8232,N0,50
24.8557,4.90749,N1,50
24.9366,28.1253,N0,50
24.9366,4.93297,N1,50
25.0172,28.4296,N0,50
25.0172,4.95848,N1,50
25.0975,28.7361,N0,50
25.0975,4.98404,N1,50
25.1775,29.0448,N0,50
25.1775,5.00963,N1,50
25.2573,29.3557,N0,50
25.2573,5.03526,N1,50
25.3367,29.6687,N0,50
25.3367,5.06094,N1,50
25.4159,29.984,N0,50
25.4159,5.08665,N1,50
25.4948,30.3016,N0,50
25.4948,5.1124,N1,50
25.5735,30.6213,N0,50
25.5735,5.1382,N1,50
25.6518,30.9433,N0,50
25.6518,5.16403,N1,50
25.7299,31.2676,N0,50
25.7299,5.1899,N1,50
25.8077,31.5941,N0,50
25.8077,5.21581,N1,50
25.8853,31.9228,N0,50
25.8853,5.24176,N1,50
25.9625,32.2539,N0,50
25.9625,5.26775,N1,50
26.0396,32.5872,N0,50
26.0396,5.29377,N1,50
26.1163,32.9228,N0,50
26.1163,5.31984,N1,50
26.1928,33.2607,N0,50
26.1928,5.34595,N1,50
26.269,33.6009,N0,50
26.269,5.37209,N1,50
26.345,33.9433,N0,50
26.345,5.39828,N1,50
26.4207,34.2882,N0,50
26.4207,5.4245,N1,50
26.4962,34.6353,N0,50
26.4962,5.45076,N1,50
26.5714,34.9848,N0,50
26.5714,5.47706,N1,50
26.6463,35.3366,N0,50
26.6463,5.50339,N1,50
26.721,35.6907,N0,50
26.721,5.52977,N1,50
26.7955,36.0473,N0,50
26.7955,5.55619,N1,50
26.8697,36.4061,N0,50
26.8697,5.58264,N1,50
26.9437,36.7674,N0,50
26.9437,5.60913,N1,50
27.0174,37.131,N0,50
27.0174,5.63566,N1,50
27.0909,37.497,N0,50
27.0909,5.66222,N1,50
27.1641,37.8654,N0,50
27.1641,5.68883,N1,50
27.2371,38.2362,N0,50
27.2371,5.71547,N1,50
27.3099,38.6095,N0,50
27.3099,5.74215,N1,50
27.3824,38.9851,N0,50
27.3824,5.76887,N1,50
27.4547,39.3632,N0,50
27.4547,5.79563,N1,50
27.5268,39.7437,N0,50
27.5268,5.82242,N1,50
27.5987,40.1266,N0,50
27.5987,5.84925,N1,50
27.6703,40.512,N0,50
27.6703,5.87612,N1,50
27.7417,40.8998,N0,50
27.7417,5.90303,N1,50
27.8128,41.2901,N0,50
27.8128,5.92997,N1,50
27.8837,41.6829,N0,50
27.8837,5.95695,N1,50
27.9544,42.0782,N0,50
27.9544,5.98397,N1,50
28.0249,42.4759,N0,50
28.0249,6.01103,N1,50
28.0952,42.8762,N0,50
28.0952,6.03812,N1,50
28.1652,43.2789,N0,50
28.1652,6.06525,N1,50
28.2351,43.6842,N0,50
28.2351,6.09242,N1,50
28.3047,44.092,N0,50
28.3047,6.11962,N1,50
28.3741,44.5023,N0,50
28.3741,6.14686,N1,50
28.4433,44.9151,N0,50
28.4433,6.17414,N1,50
28.5122,45.3305,N0,50
28.5122,6.20145,N1,50
28.581,45.7484,N0,50
28.581,6.2288,N1,50
28.6496,46.1689,N0,50
28.6496,6.25619,N1,50
28.7179,46.592,N0,50
28.7179,6.28362,N1,50
28.786,47.0176,N0,50
28.786,6.31108,N1,50
28.854,47.4458,N0,50
28.854,6.33857,N1,50
28.9217,47.8766,N0,50
28.9217,6.36611,N1,50
28.9892,48.31,N0,50
28.9892,6.39368,N1,50
29.0565,48.746,N0,50
29.0565,6.42128,N1,50
29.1236,49.1846,N0,50
29.1236,6.44892,N1,50
29.1906,49.6259,N0,50
29.1906,6.4766,N1,50
29.2573,50.0698,N0,50
29.2573,6.50432,N1,50
29.3238,50.5163,N0,50
29.3238,6.53207,N1,50
29.3901,50.9654,N0,50
29.3901,6.55985,N1,50
29.4563,51.4172,N0,50
29.4563,6.58767,N1,50
29.5222,51.8716,N0,50
29.5222,6.61553,N1,50
29.5879,52.3288,N0,50
29.5879,6.64342,N1,50
29.6535,52.7886,N0,50
29.6535,6.67135,N1,50
29.7188,53.251,N0,50
29.7188,6.69932,N1,50
29.784,53.7162,N0,50
29.784,6.72732,N1,50
29.849,54.1841,N0,50
29.849,6.75535,N1,50
29.9138,54.6547,N0,50
29.9138,6.78343,N1,50
29.9784,55.128,N0,50
29.9784,6.81153,N1,50
30.0428,55.604,N0,50
30.0428,6.83968,N1,50
30.1071,56.0827,N0,50
30.1071,6.86785,N1,50
30.1711,56.5642,N0,50
30.1711,6.89607,N1,50
30.235,57.0484,N0,50
30.235,6.92431,N1,50
30.2987,57.5354,N0,50
30.2987,6.9526,N1,50
30.3622,58.0251,N0,50
30.3622,6.98091,N1,50
30.4255,58.5176,N0,50
30.4255,7.00927,N1,50
30.4887,59.0129,N0,50
30.4887,7.03766,N1,50
30.5516,59.511,N0,50
30.5516,7.06608,N1,50
30.6145,60.0118,N0,50
30.6145,7.09454,N1,50
30.6771,60.5155,N0,50
30.6771,7.12303,N1,50
30.7395,61.0219,N0,50
30.7395,7.15156,N1,50
30.8018,61.5312,N0,50
30.8018,7.18012,N1,50
30.8639,62.0433,N0,50
30.8639,7.20872,N1,50
30.9259,62.5582,N0,50
30.9259,7.23735,N1,50
30.9876,63.076,N0,50
30.9876,7.26601,N1,50
31.0492,63.5966,N0,50
31.0492,7.29471,N1,50
31.1106,64.1201,N0,50
31.1106,7.32345,N1,50
31.1719,64.6464,N0,50
31.1719,7.35222,N1,50
31.233,65.1756,N0,50
31.233,7.38102,N1,50
31.2939,65.7077,N0,50
31.2939,7.40986,N1,50
31.3547,66.2427,N0,50
31.3547,7.43873,N1,50
31.4153,66.7805,N0,50
31.4153,7.46764,N1,50
31.4757,67.3213,N0,50
31.4757,7.49658,N1,50
31.536,67.865,N0,50
31.536,7.52555,N1,50
31.5961,68.4115,N0,50
31.5961,7.55456,N1,50
31.6561,68.961,N0,50
31.6561,7.5836,N1,50
31.7159,69.5135,N0,50
31.7159,7.61268,N1,50
31.7755,70.0689,N0,50
31.7755,7.64179,N1,50
31.835,70.6272,N0,50
31.835,7.67093,N1,50
31.8943,71.1885,N0,50
31.8943,7.70011,N1,50
31.9534,71.7527,N0,50
31.9534,7.72932,N1,50
32.0125,72.3199,N0,50
32.0125,7.75856,N1,50
32.0713,72.8901,N0,50
32.0713,7.78784,N1,50
32.13,73.4633,N0,50
32.13,7.81716,N1,50
32.1886,74.0395,N0,50
32.1886,7.8465,N1,50
32.247,74.6187,N0,50
32.247,7.87588,N1,50
32.3052,75.2008,N0,50
32.3052,7.90529,N1,50
32.3633,75.786,N0,50
32.3633,7.93474,N1,50
32.4212,76.3743,N0,50
32.4212,7.96422,N1,50
32.479,76.9655,N0,50
32.479,7.99373,N1,50
32.5367,77.5598,N0,50
32.5367,8.02328,N1,50
32.5942,78.1572,N0,50
32.5942,8.05286,N1,50
32.6515,78.7576,N0,50
32.6515,8.08247,N1,50
32.7087,79.3611,N0,50
32.7087,8.11211,N1,50
32.7658,79.9676,N0,50
32.7658,8.14179,N1,50
32.8227,80.5772,N0,50
32.8227,8.1715,N1,50
32.8795,81.1899,N0,50
32.8795,8.20125,N1,50
32.9361,81.8058,N0,50
32.9361,8.23102,N1,50
32.9926,82.4247,N0,50
32.9926,8.26083,N1,50
33.0489,83.0467,N0,50
33.0489,8.29068,N1,50
33.1051,83.6718,N0,50
33.1051,8.32055,N1,50
33.1612,84.3001,N0,50
33.1612,8.35046,N1,50
33.2171,84.9315,N0,50
33.2171,8.3804,N1,50
33.2729,85.566,N0,50
33.2729,8.41037,N1,50
33.3285,86.2037,N0,50
33.3285,8.44038,N1,50
33.3841,86.8446,N0,50
33.3841,8.47042,N1,50
33.4394,87.4886,N0,50
33.4394,8.50049,N1,50
33.4947,88.1358,N0,50
33.4947,8.53059,N1,50
33.5498,88.7862,N0,50
33.5498,8.56073,N1,50
33.6047,89.4397,N0,50
33.6047,8.5909,N1,50
33.6596,90.0965,N0,50
33.6596,8.6211,N1,50
33.7143,90.7564,N0,50
33.7143,8.65133,N1,50
33.7688,91.4196,N0,50
33.7688,8.68159,N1,50
33.8233,92.086,N0,50
33.8233,8.71189,N1,50
33.8776,92.7556,N0,50
33.8776,8.74222,N1,50
33.9317,93.4285,N0,50
33.9317,8.77258,N1,50
33.9858,94.1046,N0,50
33.9858,8.80298,N1,50
34.0397,94.7839,N0,50
34.0397,8.8334,N1,50
34.0935,95.4665,N0,50
34.0935,8.86386,N1,50
34.1471,96.1524,N0,50
34.1471,8.89435,N1,50
34.2006,96.8416,N0,50
34.2006,8.92487,N1,50
34.254,97.534,N0,50
34.254,8.95542,N1,50
34.3073,98.2297,N0,50
34.3073,8.98601,N1,50
34.3605,98.9287,N0,50
34.3605,9.01662,N1,50
34.4135,99.6311,N0,50
34.4135,9.04727,N1,50
34.4664,100.337,N0,50
34.4664,9.07795,N1,50
34.5192,101.046,N0,50
34.5192,9.10866,N1,50
34.5718,101.758,N0,50
34.5718,9.13941,N1,50
34.6243,102.474,N0,50
34.6243,9.17018,N1,50
34.6767,103.193,N0,50
34.6767,9.20099,N1,50
34.729,103.915,N0,50
34.729,9.23183,N1,50
34.7812,104.641,N0,50
34.7812,9.26269,N1,50
34.8332,105.37,N0,50
34.8332,9.2936,N1,50
34.8851,106.102,N0,50
34.8851,9.32453,N1,50
34.9369,106.838,N0,50
34.9369,9.35549,N1,50
34.9886,107.577,N0,50
34.9886,9.38648,N1,50
35.0402,108.32,N0,50
35.0402,9.41751,N1,50
35.0916,109.066,N0,50
35.0916,9.44857,N1,50
35.1429,109.815,N0,50
35.1429,9.47965,N1,50
35.1941,110.568,N0,50
35.1941,9.51077,N1,50
35.2452,111.324,N0,50
35.2452,9.54192,N1,50
35.2962,112.084,N0,50
35.2962,9.5731,N1,50
35.3471,112.847,N0,50
35.3471,9.60432,N1,50
35.3978,113.614,N0,50
35.3978,9.63556,N1,50
35.4484,114.384,N0,50
35.4484,9.66683,N1,50
35.499,115.157,N0,50
35.499,9.69814,N1,50
35.5494,115.934,N0,50
35.5494,9.72947,N1,50
35.5997,116.715,N0,50
35.5997,9.76084,N1,50
35.6498,117.499,N0,50
35.6498,9.79224,N1,50
35.6999,118.286,N0,50
35.6999,9.82366,N1,50
35.7499,119.077,N0,50
35.7499,9.85512,N1,50
35.7997,119.872,N0,50
