t,popsize,population,resource input
0.001,1.00034,N0,16
0.001,1.00028e-05,N1,16
0.0564053,1.01939,N0,16
0.0564053,1.01594e-05,N1,16
0.127913,1.0445,N0,16
0.127913,1.03651e-05,N1,16
0.167286,1.0586,N0,16
0.167286,1.04802e-05,N1,16
0.218472,1.0772,N0,16
0.218472,1.06317e-05,N1,16
0.285014,1.10188,N0,16
0.285014,1.08319e-05,N1,16
0.371518,1.13481,N0,16
0.371518,1.10978e-05,N1,16
0.463652,1.17096,N0,16
0.463652,1.13882e-05,N1,16
0.55483,1.20788,N0,16
0.55483,1.1683e-05,N1,16
0.645069,1.24556,N0,16
0.645069,1.19824e-05,N1,16
0.734388,1.28401,N0,16
0.734388,1.22862e-05,N1,16
0.822807,1.32324,N0,16
0.822807,1.25946e-05,N1,16
0.910342,1.36326,N0,16
0.910342,1.29075e-05,N1,16
0.997013,1.40408,N0,16
0.997013,1.3225e-05,N1,16
1.08283,1.4457,N0,16
1.08283,1.3547e-05,N1,16
1.16782,1.48814,N0,16
1.16782,1.38737e-05,N1,16
1.252,1.5314,N0,16
1.252,1.4205e-05,N1,16
1.33537,1.57548,N0,16
1.33537,1.4541e-05,N1,16
1.41796,1.6204,N0,16
1.41796,1.48816e-05,N1,16
1.49978,1.66616,N0,16
1.49978,1.52269e-05,N1,16
1.58084,1.71278,N0,16
1.58084,1.55769e-05,N1,16
1.66116,1.76025,N0,16
1.66116,1.59316e-05,N1,16
1.74075,1.8086,N0,16
1.74075,1.62911e-05,N1,16
1.81963,1.85781,N0,16
1.81963,1.66554e-05,N1,16
1.8978,1.90791,N0,16
1.8978,1.70245e-05,N1,16
1.97528,1.9589,N0,16
1.97528,1.73983e-05,N1,16
2.05208,2.01079,N0,16
2.05208,1.7777e-05,N1,16
2.12822,2.06359,N0,16
2.12822,1.81606e-05,N1,16
2.2037,2.11729,N0,16
2.2037,1.8549e-05,N1,16
2.27854,2.17192,N0,16
2.27854,1.89423e-05,N1,16
2.35274,2.22748,N0,16
2.35274,1.93405e-05,N1,16
2.42632,2.28398,N0,16
2.42632,1.97436e-05,N1,16
2.49929,2.34142,N0,16
2.49929,2.01517e-05,N1,16
2.57166,2.39982,N0,16
2.57166,2.05647e-05,N1,16
2.64344,2.45918,N0,16
2.64344,2.09827e-05,N1,16
2.71463,2.5195,N0,16
2.71463,2.14058e-05,N1,16
2.78526,2.5808,N0,16
2.78526,2.18338e-05,N1,16
2.85531,2.64309,N0,16
2.85531,2.22669e-05,N1,16
2.92482,2.70637,N0,16
2.92482,2.2705e-05,N1,16
2.99377,2.77064,N0,16
2.99377,2.31482e-05,N1,16
3.06219,2.83593,N0,16
3.06219,2.35966e-05,N1,16
3.13008,2.90223,N0,16
3.13008,2.405e-05,N1,16
3.19745,2.96955,N0,16
3.19745,2.45086e-05,N1,16
3.26431,3.03791,N0,16
3.26431,2.49723e-05,N1,16
3.33066,3.1073,N0,16
3.33066,2.54412e-05,N1,16
3.39651,3.17775,N0,16
3.39651,2.59152e-05,N1,16
3.46187,3.24924,N0,16
3.46187,2.63945e-05,N1,16
3.52675,3.3218,N0,16
3.52675,2.6879e-05,N1,16
3.59116,3.39543,N0,16
3.59116,2.73687e-05,N1,16
3.65509,3.47013,N0,16
3.65509,2.78637e-05,N1,16
3.71856,3.54592,N0,16
3.71856,2.8364e-05,N1,16
3.78158,3.62281,N0,16
3.78158,2.88696e-05,N1,16
3.84415,3.70079,N0,16
3.84415,2.93805e-05,N1,16
3.90627,3.77989,N0,16
3.90627,2.98967e-05,N1,16
3.96796,3.8601,N0,16
3.96796,3.04183e-05,N1,16
4.02922,3.94144,N0,16
4.02922,3.09452e-05,N1,16
4.09006,4.02391,N0,16
4.09006,3.14775e-05,N1,16
4.15047,4.10752,N0,16
4.15047,3.20152e-05,N1,16
4.21047,4.19228,N0,16
4.21047,3.25583e-05,N1,16
4.27007,4.27819,N0,16
4.27007,3.31069e-05,N1,16
4.32926,4.36527,N0,16
4.32926,3.36609e-05,N1,16
4.38806,4.45352,N0,16
4.38806,3.42204e-05,N1,16
4.44647,4.54295,N0,16
4.44647,3.47853e-05,N1,16
4.50449,4.63357,N0,16
4.50449,3.53558e-05,N1,16
4.56213,4.72538,N0,16
4.56213,3.59318e-05,N1,16
4.61939,4.81839,N0,16
4.61939,3.65133e-05,N1,16
4.67628,4.91261,N0,16
4.67628,3.71004e-05,N1,16
4.73281,5.00806,N0,16
4.73281,3.7693e-05,N1,16
4.78898,5.10473,N0,16
4.78898,3.82913e-05,N1,16
4.84479,5.20263,N0,16
4.84479,3.88951e-05,N1,16
4.90024,5.30177,N0,16
4.90024,3.95046e-05,N1,16
4.95535,5.40217,N0,16
4.95535,4.01197e-05,N1,16
5.01012,5.50382,N0,16
5.01012,4.07404e-05,N1,16
5.06454,5.60674,N0,16
5.06454,4.13668e-05,N1,16
5.11863,5.71093,N0,16
5.11863,4.19989e-05,N1,16
5.17239,5.8164,N0,16
5.17239,4.26367e-05,N1,16
5.22582,5.92316,N0,16
5.22582,4.32803e-05,N1,16
5.27893,6.03121,N0,16
5.27893,4.39295e-05,N1,16
5.33172,6.14057,N0,16
5.33172,4.45845e-05,N1,16
5.3842,6.25124,N0,16
5.3842,4.52453e-05,N1,16
5.43636,6.36323,N0,16
5.43636,4.59118e-05,N1,16
5.48822,6.47655,N0,16
5.48822,4.65842e-05,N1,16
5.53977,6.59121,N0,16
5.53977,4.72624e-05,N1,16
5.59102,6.70721,N0,16
5.59102,4.79464e-05,N1,16
5.64197,6.82455,N0,16
5.64197,4.86362e-05,N1,16
5.69263,6.94326,N0,16
5.69263,4.93319e-05,N1,16
5.743,7.06333,N0,16
5.743,5.00335e-05,N1,16
5.79309,7.18478,N0,16
5.79309,5.0741e-05,N1,16
5.84288,7.30761,N0,16
5.84288,5.14544e-05,N1,16
5.8924,7.43183,N0,16
5.8924,5.21737e-05,N1,16
5.94164,7.55745,N0,16
5.94164,5.2899e-05,N1,16
5.99061,7.68448,N0,16
5.99061,5.36302e-05,N1,16
6.0393,7.81291,N0,16
6.0393,5.43673e-05,N1,16
6.08773,7.94277,N0,16
6.08773,5.51105e-05,N1,16
6.13589,8.07406,N0,16
6.13589,5.58597e-05,N1,16
6.18379,8.20678,N0,16
6.18379,5.66149e-05,N1,16
6.23143,8.34095,N0,16
6.23143,5.73761e-05,N1,16
6.27881,8.47657,N0,16
6.27881,5.81434e-05,N1,16
6.32594,8.61365,N0,16
6.32594,5.89167e-05,N1,16
6.37282,8.7522,N0,16
6.37282,5.96961e-05,N1,16
6.41944,8.89222,N0,16
6.41944,6.04816e-05,N1,16
6.46582,9.03373,N0,16
6.46582,6.12732e-05,N1,16
6.51196,9.17673,N0,16
6.51196,6.2071e-05,N1,16
6.55786,9.32123,N0,16
6.55786,6.28749e-05,N1,16
6.60352,9.46723,N0,16
6.60352,6.36849e-05,N1,16
6.64894,9.61475,N0,16
6.64894,6.45011e-05,N1,16
6.69413,9.7638,N0,16
6.69413,6.53235e-05,N1,16
6.73909,9.91437,N0,16
6.73909,6.61521e-05,N1,16
6.78382,10.0665,N0,16
6.78382,6.69868e-05,N1,16
6.82832,10.2201,N0,16
6.82832,6.78279e-05,N1,16
6.8726,10.3753,N0,16
6.8726,6.86751e-05,N1,16
6.91666,10.5321,N0,16
6.91666,6.95287e-05,N1,16
6.9605,10.6905,N0,16
6.9605,7.03885e-05,N1,16
7.00412,10.8504,N0,16
7.00412,7.12545e-05,N1,16
7.04752,11.0119,N0,16
7.04752,7.21269e-05,N1,16
7.09071,11.175,N0,16
7.09071,7.30056e-05,N1,16
7.13369,11.3397,N0,16
7.13369,7.38907e-05,N1,16
7.17646,11.506,N0,16
7.17646,7.4782e-05,N1,16
7.21903,11.6739,N0,16
7.21903,7.56798e-05,N1,16
7.26139,11.8434,N0,16
7.26139,7.65839e-05,N1,16
7.30354,12.0146,N0,16
7.30354,7.74944e-05,N1,16
7.3455,12.1874,N0,16
7.3455,7.84113e-05,N1,16
7.38725,12.3619,N0,16
7.38725,7.93346e-05,N1,16
7.42881,12.538,N0,16
7.42881,8.02643e-05,N1,16
7.47017,12.7158,N0,16
7.47017,8.12005e-05,N1,16
7.51134,12.8952,N0,16
7.51134,8.21432e-05,N1,16
7.55232,13.0764,N0,16
7.55232,8.30923e-05,N1,16
7.5931,13.2592,N0,16
7.5931,8.40479e-05,N1,16
7.6337,13.4437,N0,16
7.6337,8.501e-05,N1,16
7.67411,13.6299,N0,16
7.67411,8.59786e-05,N1,16
7.71434,13.8178,N0,16
7.71434,8.69538e-05,N1,16
7.75438,14.0075,N0,16
7.75438,8.79355e-05,N1,16
7.79425,14.1988,N0,16
7.79425,8.89238e-05,N1,16
7.83393,14.3919,N0,16
7.83393,8.99186e-05,N1,16
7.87343,14.5868,N0,16
7.87343,9.092e-05,N1,16
7.91276,14.7834,N0,16
7.91276,9.1928e-05,N1,16
7.95191,14.9817,N0,16
7.95191,9.29426e-05,N1,16
7.99089,15.1818,N0,16
7.99089,9.39639e-05,N1,16
8.0297,15.3837,N0,16
8.0297,9.49918e-05,N1,16
8.06833,15.5873,N0,16
8.06833,9.60263e-05,N1,16
8.1068,15.7928,N0,16
8.1068,9.70675e-05,N1,16
8.1451,16,N0,16
8.1451,9.81154e-05,N1,16
8.18323,16.2091,N0,16
8.18323,9.917e-05,N1,16
8.2212,16.4199,N0,16
8.2212,0.000100231,N1,16
8.25901,16.6326,N0,16
8.25901,0.000101299,N1,16
8.29665,16.8471,N0,16
8.29665,0.000102374,N1,16
8.33413,17.0634,N0,16
8.33413,0.000103456,N1,16
8.37146,17.2816,N0,16
