t,popsize,poptype,poplocation
0.0005,1.00007,N0,Wall
0.0005,1.00004,N1,Wall
0.0005,1.00007,N0,Lumen
0.0005,1.00003,N1,Lumen
0.0639563,1.00863,N0,Wall
0.0639563,1.00474,N1,Wall
0.0639563,1.00863,N0,Lumen
0.0639563,1.00346,N1,Lumen
0.109236,1.01478,N0,Wall
0.109236,1.00812,N1,Wall
0.109236,1.01478,N0,Lumen
0.109236,1.00592,N1,Lumen
0.185759,1.02527,N0,Wall
0.185759,1.01384,N1,Wall
0.185759,1.02527,N0,Lumen
0.185759,1.01008,N1,Lumen
0.241987,1.03304,N0,Wall
0.241987,1.01806,N1,Wall
0.241987,1.03304,N0,Lumen
0.241987,1.01315,N1,Lumen
0.315083,1.04323,N0,Wall
0.315083,1.02358,N1,Wall
0.315083,1.04323,N0,Lumen
0.315083,1.01716,N1,Lumen
0.410108,1.05663,N0,Wall
0.410108,1.0308,N1,Wall
0.410108,1.05663,N0,Lumen
0.410108,1.02239,N1,Lumen
0.53364,1.07431,N0,Wall
0.53364,1.04025,N1,Wall
0.53364,1.07431,N0,Lumen
0.53364,1.02924,N1,Lumen
0.694232,1.09773,N0,Wall
0.694232,1.05267,N1,Wall
0.694232,1.09772,N0,Lumen
0.694232,1.0382,N1,Lumen
0.903001,1.12894,N0,Wall
0.903001,1.06902,N1,Wall
0.903001,1.12893,N0,Lumen
0.903001,1.04997,N1,Lumen
1.1376,1.16507,N0,Wall
1.1376,1.08769,N1,Wall
1.1376,1.16505,N0,Lumen
1.1376,1.06336,N1,Lumen
1.36977,1.20196,N0,Wall
1.36977,1.10647,N1,Wall
1.36977,1.20194,N0,Lumen
1.36977,1.07677,N1,Lumen
1.59956,1.23961,N0,Wall
1.59956,1.12537,N1,Wall
1.59956,1.23958,N0,Lumen
1.59956,1.09022,N1,Lumen
1.827,1.27804,N0,Wall
1.827,1.14439,N1,Wall
1.827,1.278,N0,Lumen
1.827,1.10369,N1,Lumen
2.05216,1.31726,N0,Wall
2.05216,1.16352,N1,Wall
2.05216,1.31721,N0,Lumen
2.05216,1.11719,N1,Lumen
2.27507,1.35726,N0,Wall
2.27507,1.18276,N1,Wall
2.27507,1.3572,N0,Lumen
2.27507,1.13072,N1,Lumen
2.49578,1.39806,N0,Wall
2.49578,1.20211,N1,Wall
2.49578,1.39799,N0,Lumen
2.49578,1.14428,N1,Lumen
2.71433,1.43967,N0,Wall
2.71433,1.22158,N1,Wall
2.71433,1.43958,N0,Lumen
2.71433,1.15786,N1,Lumen
2.93077,1.48209,N0,Wall
2.93077,1.24116,N1,Wall
2.93077,1.48198,N0,Lumen
2.93077,1.17147,N1,Lumen
3.14514,1.52534,N0,Wall
3.14514,1.26084,N1,Wall
3.14514,1.52521,N0,Lumen
3.14514,1.18511,N1,Lumen
3.35747,1.56941,N0,Wall
3.35747,1.28064,N1,Wall
3.35747,1.56926,N0,Lumen
3.35747,1.19878,N1,Lumen
3.5678,1.61432,N0,Wall
3.5678,1.30055,N1,Wall
3.5678,1.61415,N0,Lumen
3.5678,1.21247,N1,Lumen
3.77617,1.66008,N0,Wall
3.77617,1.32057,N1,Wall
3.77617,1.65988,N0,Lumen
3.77617,1.22619,N1,Lumen
3.98262,1.70669,N0,Wall
3.98262,1.3407,N1,Wall
3.98262,1.70647,N0,Lumen
3.98262,1.23994,N1,Lumen
4.18718,1.75416,N0,Wall
4.18718,1.36093,N1,Wall
4.18718,1.75391,N0,Lumen
4.18718,1.25371,N1,Lumen
4.38989,1.8025,N0,Wall
4.38989,1.38127,N1,Wall
4.38989,1.80222,N0,Lumen
4.38989,1.26751,N1,Lumen
4.59078,1.85171,N0,Wall
4.59078,1.40172,N1,Wall
4.59078,1.8514,N0,Lumen
4.59078,1.28133,N1,Lumen
4.78988,1.90181,N0,Wall
4.78988,1.42228,N1,Wall
4.78988,1.90147,N0,Lumen
4.78988,1.29518,N1,Lumen
4.98722,1.95281,N0,Wall
4.98722,1.44294,N1,Wall
4.98722,1.95243,N0,Lumen
4.98722,1.30906,N1,Lumen
5.18284,2.0047,N0,Wall
5.18284,1.46371,N1,Wall
5.18284,2.00428,N0,Lumen
