popsize,popid,Sin,c
3.99627e-05,N0,10,1e-05
1.51669e-15,N1,10,1e-05
0.000148337,N0,11,1e-05
1.23655e-28,N1,11,1e-05
33.8132,N0,12,1e-05
1.11673e-23,N1,12,1e-05
950.75,N0,13,1e-05
6.29269,N1,13,1e-05
5191.16,N0,14,1e-05
211.013,N1,14,1e-05
1230.67,N0,15,1e-05
1533.46,N1,15,1e-05
2639.29,N0,16,1e-05
2639.66,N1,16,1e-05
1001.94,N0,17,1e-05
4551.61,N1,17,1e-05
760.198,N0,18,1e-05
5911.86,N1,18,1e-05
131.572,N0,19,1e-05
24682.2,N1,19,1e-05
100.987,N0,20,1e-05
643554,N1,20,1e-05
100.23,N0,21,1e-05
2.67392e+06,N1,21,1e-05
100.14,N0,22,1e-05
4.37251e+06,N1,22,1e-05
100.102,N0,23,1e-05
5.97697e+06,N1,23,1e-05
100.081,N0,24,1e-05
7.57704e+06,N1,24,1e-05
100.067,N0,25,1e-05
9.177e+06,N1,25,1e-05
100.057,N0,26,1e-05
1.0777e+07,N1,26,1e-05
100.049,N0,27,1e-05
1.23769e+07,N1,27,1e-05
100.044,N0,28,1e-05
1.39769e+07,N1,28,1e-05
100.039,N0,29,1e-05
1.55769e+07,N1,29,1e-05
100.036,N0,30,1e-05
1.71769e+07,N1,30,1e-05
100.033,N0,31,1e-05
1.87769e+07,N1,31,1e-05
100.03,N0,32,1e-05
2.03769e+07,N1,32,1e-05
100.028,N0,33,1e-05
2.19769e+07,N1,33,1e-05
100.026,N0,34,1e-05
2.35769e+07,N1,34,1e-05
100.024,N0,35,1e-05
2.51769e+07,N1,35,1e-05
100.023,N0,36,1e-05
2.67769e+07,N1,36,1e-05
100.022,N0,37,1e-05
2.83769e+07,N1,37,1e-05
100.02,N0,38,1e-05
2.99768e+07,N1,38,1e-05
100.019,N0,39,1e-05
3.15768e+07,N1,39,1e-05
100.018,N0,40,1e-05
3.31768e+07,N1,40,1e-05
100.018,N0,41,1e-05
3.47768e+07,N1,41,1e-05
100.017,N0,42,1e-05
3.63768e+07,N1,42,1e-05
100.016,N0,43,1e-05
3.79768e+07,N1,43,1e-05
100.015,N0,44,1e-05
3.95768e+07,N1,44,1e-05
100.015,N0,45,1e-05
4.11768e+07,N1,45,1e-05
100.014,N0,46,1e-05
4.27768e+07,N1,46,1e-05
100.014,N0,47,1e-05
4.43768e+07,N1,47,1e-05
100.013,N0,48,1e-05
4.59768e+07,N1,48,1e-05
100.013,N0,49,1e-05
4.75768e+07,N1,49,1e-05
100.012,N0,50,1e-05
4.91768e+07,N1,50,1e-05
100.012,N0,51,1e-05
5.07768e+07,N1,51,1e-05
100.012,N0,52,1e-05
5.23768e+07,N1,52,1e-05
100.011,N0,53,1e-05
5.39768e+07,N1,53,1e-05
100.011,N0,54,1e-05
5.55768e+07,N1,54,1e-05
100.011,N0,55,1e-05
5.71768e+07,N1,55,1e-05
100.01,N0,56,1e-05
5.87768e+07,N1,56,1e-05
100.01,N0,57,1e-05
