popsize,popid,c
100.012,N0,1e-05
4.91768e+07,N1,1e-05
112.217,N0,8.91251e-06
4.91768e+07,N1,8.91251e-06
125.912,N0,7.94328e-06
4.91768e+07,N1,7.94328e-06
141.279,N0,7.07946e-06
4.91768e+07,N1,7.07946e-06
158.521,N0,6.30957e-06
4.91768e+07,N1,6.30957e-06
177.867,N0,5.62341e-06
4.91768e+07,N1,5.62341e-06
199.576,N0,5.01187e-06
4.91768e+07,N1,5.01187e-06
223.934,N0,4.46684e-06
4.91767e+07,N1,4.46684e-06
251.267,N0,3.98107e-06
4.91767e+07,N1,3.98107e-06
281.937,N0,3.54813e-06
4.91767e+07,N1,3.54813e-06
316.352,N0,3.16228e-06
4.91767e+07,N1,3.16228e-06
354.97,N0,2.81838e-06
4.91767e+07,N1,2.81838e-06
398.304,N0,2.51189e-06
4.91766e+07,N1,2.51189e-06
446.932,N0,2.23872e-06
4.91766e+07,N1,2.23872e-06
501.5,N0,1.99526e-06
4.91766e+07,N1,1.99526e-06
562.735,N0,1.77828e-06
4.91765e+07,N1,1.77828e-06
631.452,N0,1.58489e-06
4.91765e+07,N1,1.58489e-06
708.569,N0,1.41254e-06
4.91765e+07,N1,1.41254e-06
795.113,N0,1.25893e-06
4.91764e+07,N1,1.25893e-06
892.239,N0,1.12202e-06
4.91764e+07,N1,1.12202e-06
1001.24,N0,1e-06
4.91763e+07,N1,1e-06
1123.59,N0,8.91251e-07
4.91762e+07,N1,8.91251e-07
1260.9,N0,7.94328e-07
4.91761e+07,N1,7.94328e-07
1415.02,N0,7.07946e-07
4.9176e+07,N1,7.07946e-07
1588.02,N0,6.30957e-07
4.91759e+07,N1,6.30957e-07
1782.22,N0,5.62341e-07
4.91758e+07,N1,5.62341e-07
2000.22,N0,5.01187e-07
4.91757e+07,N1,5.01187e-07
2244.97,N0,4.46684e-07
4.91755e+07,N1,4.46684e-07
2519.75,N0,3.98107e-07
4.91754e+07,N1,3.98107e-07
2828.29,N0,3.54813e-07
4.91752e+07,N1,3.54813e-07
3174.75,N0,3.16228e-07
4.9175e+07,N1,3.16228e-07
3563.85,N0,2.81838e-07
4.91748e+07,N1,2.81838e-07
