N0,N1,Sin,c
3.99627e-05,1.51669e-15,10,1e-05
0.000148337,1.23655e-28,11,1e-05
33.8132,1.11673e-23,12,1e-05
950.75,6.29269,13,1e-05
5191.16,211.013,14,1e-05
1230.67,1533.46,15,1e-05
2639.29,2639.66,16,1e-05
1001.94,4551.61,17,1e-05
760.198,5911.86,18,1e-05
131.572,24682.2,19,1e-05
100.987,643554,20,1e-05
100.23,2.67392e+06,21,1e-05
100.14,4.37251e+06,22,1e-05
100.102,5.97697e+06,23,1e-05
100.081,7.57704e+06,24,1e-05
100.067,9.177e+06,25,1e-05
100.057,1.0777e+07,26,1e-05
100.049,1.23769e+07,27,1e-05
100.044,1.39769e+07,28,1e-05
100.039,1.55769e+07,29,1e-05
100.036,1.71769e+07,30,1e-05
100.033,1.87769e+07,31,1e-05
100.03,2.03769e+07,32,1e-05
100.028,2.19769e+07,33,1e-05
100.026,2.35769e+07,34,1e-05
100.024,2.51769e+07,35,1e-05
100.023,2.67769e+07,36,1e-05
100.022,2.83769e+07,37,1e-05
100.02,2.99768e+07,38,1e-05
100.019,3.15768e+07,39,1e-05
100.018,3.31768e+07,40,1e-05
100.018,3.47768e+07,41,1e-05
100.017,3.63768e+07,42,1e-05
100.016,3.79768e+07,43,1e-05
100.015,3.95768e+07,44,1e-05
100.015,4.11768e+07,45,1e-05
100.014,4.27768e+07,46,1e-05
100.014,4.43768e+07,47,1e-05
100.013,4.59768e+07,48,1e-05
100.013,4.75768e+07,49,1e-05
100.012,4.91768e+07,50,1e-05
100.012,5.07768e+07,51,1e-05
100.012,5.23768e+07,52,1e-05
100.011,5.39768e+07,53,1e-05
100.011,5.55768e+07,54,1e-05
100.011,5.71768e+07,55,1e-05
100.01,5.87768e+07,56,1e-05
100.01,6.03768e+07,57,1e-05
100.01,6.19768e+07,58,1e-05
100.01,6.35768e+07,59,1e-05
100.009,6.51768e+07,60,1e-05
100.009,6.67768e+07,61,1e-05
100.009,6.83768e+07,62,1e-05
100.009,6.99768e+07,63,1e-05
100.009,7.15768e+07,64,1e-05
100.008,7.31768e+07,65,1e-05
100.008,7.47768e+07,66,1e-05
100.008,7.63768e+07,67,1e-05
100.008,7.79768e+07,68,1e-05
100.008,7.95768e+07,69,1e-05
100.008,8.11768e+07,70,1e-05
100.007,8.27768e+07,71,1e-05
100.007,8.43768e+07,72,1e-05
100.007,8.59768e+07,73,1e-05
100.007,8.75768e+07,74,1e-05
100.007,8.91768e+07,75,1e-05
100.007,9.07768e+07,76,1e-05
100.007,9.23768e+07,77,1e-05
100.007,9.39768e+07,78,1e-05
100.006,9.55768e+07,79,1e-05
100.006,9.71768e+07,80,1e-05
100.006,9.87768e+07,81,1e-05
100.006,1.00377e+08,82,1e-05
100.006,1.01977e+08,83,1e-05
100.006,1.03577e+08,84,1e-05
100.006,1.05177e+08,85,1e-05
100.006,1.06777e+08,86,1e-05
100.006,1.08377e+08,87,1e-05
100.006,1.09977e+08,88,1e-05
100.005,1.11577e+08,89,1e-05
100.005,1.13177e+08,90,1e-05
100.005,1.14777e+08,91,1e-05
100.005,1.16377e+08,92,1e-05
100.005,1.17977e+08,93,1e-05
100.005,1.19577e+08,94,1e-05
100.005,1.21177e+08,95,1e-05
100.005,1.22777e+08,96,1e-05
100.005,1.24377e+08,97,1e-05
100.005,1.25977e+08,98,1e-05
100.005,1.27577e+08,99,1e-05
100.005,1.29177e+08,100,1e-05
100.005,1.30777e+08,101,1e-05
100.005,1.32377e+08,102,1e-05
100.005,1.33977e+08,103,1e-05
100.005,1.35577e+08,104,1e-05
100.004,1.37177e+08,105,1e-05
100.004,1.38777e+08,106,1e-05
100.004,1.40377e+08,107,1e-05
100.004,1.41977e+08,108,1e-05
100.004,1.43577e+08,109,1e-05
100.004,1.45177e+08,110,1e-05
100.004,1.46777e+08,111,1e-05
100.004,1.48377e+08,112,1e-05
100.004,1.49977e+08,113,1e-05
100.004,1.51577e+08,114,1e-05
100.004,1.53177e+08,115,1e-05
100.004,1.54777e+08,116,1e-05
100.004,1.56377e+08,117,1e-05
100.004,1.57977e+08,118,1e-05
100.004,1.59577e+08,119,1e-05
100.004,1.61177e+08,120,1e-05
100.004,1.62777e+08,121,1e-05
100.004,1.64377e+08,122,1e-05
100.004,1.65977e+08,123,1e-05
100.004,1.67577e+08,124,1e-05
100.004,1.69177e+08,125,1e-05
100.004,1.70777e+08,126,1e-05
100.004,1.72377e+08,127,1e-05
100.004,1.73977e+08,128,1e-05
100.003,1.75577e+08,129,1e-05
100.003,1.77177e+08,130,1e-05
100.003,1.78777e+08,131,1e-05
100.003,1.80377e+08,132,1e-05
100.003,1.81977e+08,133,1e-05
100.003,1.83577e+08,134,1e-05
100.003,1.85177e+08,135,1e-05
100.003,1.86777e+08,136,1e-05
100.003,1.88377e+08,137,1e-05
100.003,1.89977e+08,138,1e-05
100.003,1.91577e+08,139,1e-05
100.003,1.93177e+08,140,1e-05
100.003,1.94777e+08,141,1e-05
100.003,1.96377e+08,142,1e-05
100.003,1.97977e+08,143,1e-05
100.003,1.99577e+08,144,1e-05
100.003,2.01177e+08,145,1e-05
100.003,2.02777e+08,146,1e-05
100.003,2.04377e+08,147,1e-05
100.003,2.05977e+08,148,1e-05
100.003,2.07577e+08,149,1e-05
100.003,2.09177e+08,150,1e-05
4.34794e-05,2.01064e-15,10,3.16228e-06
0.00014778,1.2046e-28,11,3.16228e-06
33.8363,1.03857e-23,12,3.16228e-06
832.932,635.594,13,3.16228e-06
4895.06,862.938,14,3.16228e-06
2304.79,10015.7,15,3.16228e-06
4778.62,8189.98,16,3.16228e-06
2791.94,16257,17,3.16228e-06
2262.29,18745.2,18,3.16228e-06
428.29,71285.6,19,3.16228e-06
322.664,979572,20,3.16228e-06
318.47,2.74884e+06,21,3.16228e-06
317.63,4.37662e+06,22,3.16228e-06
317.253,5.97758e+06,23,3.16228e-06
317.036,7.5774e+06,24,3.16228e-06
316.895,9.17725e+06,25,3.16228e-06
316.796,1.07772e+07,26,3.16228e-06
316.722,1.23771e+07,27,3.16228e-06
316.666,1.3977e+07,28,3.16228e-06
316.621,1.5577e+07,29,3.16228e-06
316.584,1.71769e+07,30,3.16228e-06
316.554,1.87769e+07,31,3.16228e-06
316.528,2.03769e+07,32,3.16228e-06
316.506,2.19769e+07,33,3.16228e-06
316.487,2.35768e+07,34,3.16228e-06
316.471,2.51768e+07,35,3.16228e-06
316.456,2.67768e+07,36,3.16228e-06
316.443,2.83768e+07,37,3.16228e-06
316.432,2.99768e+07,38,3.16228e-06
316.421,3.15768e+07,39,3.16228e-06
316.412,3.31768e+07,40,3.16228e-06
316.404,3.47767e+07,41,3.16228e-06
316.396,3.63767e+07,42,3.16228e-06
316.389,3.79767e+07,43,3.16228e-06
316.382,3.95767e+07,44,3.16228e-06
316.376,4.11767e+07,45,3.16228e-06
316.371,4.27767e+07,46,3.16228e-06
316.366,4.43767e+07,47,3.16228e-06
316.361,4.59767e+07,48,3.16228e-06
316.356,4.75767e+07,49,3.16228e-06
316.352,4.91767e+07,50,3.16228e-06
316.348,5.07767e+07,51,3.16228e-06
316.344,5.23767e+07,52,3.16228e-06
316.341,5.39767e+07,53,3.16228e-06
316.338,5.55767e+07,54,3.16228e-06
316.335,5.71767e+07,55,3.16228e-06
316.332,5.87767e+07,56,3.16228e-06
316.329,6.03767e+07,57,3.16228e-06
316.326,6.19767e+07,58,3.16228e-06
316.324,6.35767e+07,59,3.16228e-06
