popsize,popid,Sin
4.03054e-05,N0,10
1.55943e-15,N1,10
4.5167e-05,N0,10.1
4.14472e-16,N1,10.1
4.83188e-05,N0,10.2
7.64957e-17,N1,10.2
5.17784e-05,N0,10.3
1.11232e-17,N1,10.3
5.70337e-05,N0,10.4
1.33225e-18,N1,10.4
6.25837e-05,N0,10.5
1.08064e-19,N1,10.5
6.95375e-05,N0,10.6
5.93405e-21,N1,10.6
7.79387e-05,N0,10.7
1.86791e-22,N1,10.7
8.55694e-05,N0,10.8
2.37478e-24,N1,10.8
9.4458e-05,N0,10.9
1.03974e-26,N1,10.9
0.000111036,N0,11
1.505e-29,N1,11
0.000132693,N0,11.1
2.74886e-33,N1,11.1
0.000158133,N0,11.2
1.50975e-38,N1,11.2
0.000198393,N0,11.3
3.55662e-46,N1,11.3
0.000632371,N0,11.4
2.25662e-52,N1,11.4
0.00752057,N0,11.5
1.94344e-51,N1,11.5
0.0867113,N0,11.6
1.96206e-50,N1,11.6
0.967232,N0,11.7
1.65647e-49,N1,11.7
10.504,N0,11.8
1.26281e-48,N1,11.8
109.736,N0,11.9
1.34298e-47,N1,11.9
1115.87,N0,12
1.15511e-46,N1,12
10864.5,N0,12.1
9.45608e-46,N1,12.1
94043.6,N0,12.2
6.79775e-45,N1,12.2
493837,N0,12.3
3.28491e-44,N1,12.3
1.00421e+06,N0,12.4
7.70903e-44,N1,12.4
1.26036e+06,N0,12.5
1.24558e-43,N1,12.5
1.43451e+06,N0,12.6
1.86682e-43,N1,12.6
1.59634e+06,N0,12.7
2.76845e-43,N1,12.7
1.75656e+06,N0,12.8
4.00723e-43,N1,12.8
1.91659e+06,N0,12.9
5.89967e-43,N1,12.9
2.0766e+06,N0,13
7.62233e-43,N1,13
2.2366e+06,N0,13.1
1.23005e-42,N1,13.1
2.3966e+06,N0,13.2
1.5401e-42,N1,13.2
2.5566e+06,N0,13.3
2.04976e-42,N1,13.3
2.7166e+06,N0,13.4
4.15045e-42,N1,13.4
2.8766e+06,N0,13.5
1.12081e-39,N1,13.5
3.0366e+06,N0,13.6
1.21368e-37,N1,13.6
3.1966e+06,N0,13.7
1.54747e-35,N1,13.7
3.3566e+06,N0,13.8
9.84738e-34,N1,13.8
3.5166e+06,N0,13.9
4.1322e-32,N1,13.9
3.6766e+06,N0,14
9.47245e-31,N1,14
3.8366e+06,N0,14.1
2.43545e-29,N1,14.1
3.9966e+06,N0,14.2
5.75351e-28,N1,14.2
4.1566e+06,N0,14.3
6.58888e-27,N1,14.3
4.3166e+06,N0,14.4
8.61492e-26,N1,14.4
4.4766e+06,N0,14.5
1.11593e-24,N1,14.5
4.6366e+06,N0,14.6
1.01922e-23,N1,14.6
4.7966e+06,N0,14.7
8.26461e-23,N1,14.7
4.9566e+06,N0,14.8
5.37221e-22,N1,14.8
5.1166e+06,N0,14.9
2.98944e-21,N1,14.9
5.2766e+06,N0,15
1.47224e-20,N1,15
5.4366e+06,N0,15.1
9.67921e-20,N1,15.1
5.5966e+06,N0,15.2
4.55418e-19,N1,15.2
5.7566e+06,N0,15.3
1.80537e-18,N1,15.3
5.9166e+06,N0,15.4
6.21763e-18,N1,15.4
6.0766e+06,N0,15.5
