pars,popsize,population,DXDT
0,2.23213e+07,N0,-6.30931e-07
0,0,N1,-9.8717e-07
1,2.2239e+07,N0,-6.10762e-07
1,0,N1,-9.95368e-07
2,2.21612e+07,N0,-6.04934e-07
2,0,N1,-9.91276e-07
3,2.20882e+07,N0,-5.92496e-07
3,0,N1,-9.95563e-07
4,2.20203e+07,N0,-5.75121e-07
4,0,N1,-9.95809e-07
5,2.19576e+07,N0,-5.74553e-07
5,0,N1,-9.95792e-07
6,2.19002e+07,N0,-5.68398e-07
6,0,N1,-9.99443e-07
7,2.18481e+07,N0,-5.61049e-07
7,0,N1,-9.99202e-07
8,1.96799e+07,N0,-3.16943
8,2.10438e+06,N1,3.14577
9,1.61822e+07,N0,9.21107e-07
9,5.54871e+06,N1,9.99481e-07
10,1.38726e+07,N0,1.44861e-06
10,7.82929e+06,N1,7.18782e-07
11,1.23167e+07,N0,-1.42453e-06
11,9.36837e+06,N1,-9.52445e-07
12,1.12173e+07,N0,-1.40468e-06
12,1.04573e+07,N1,-1.15153e-06
13,1.0404e+07,N0,1.39611e-06
13,1.12635e+07,N1,1.32961e-06
14,9.77925e+06,N0,1.29956e-06
14,1.18832e+07,N1,1.38899e-06
15,9.28467e+06,N0,1.17824e-06
15,1.2374e+07,N1,1.38175e-06
16,8.88353e+06,N0,1.087e-06
16,1.27723e+07,N1,1.3752e-06
17,8.55164e+06,N0,1.01911e-06
17,1.31019e+07,N1,1.37365e-06
18,8.27249e+06,N0,-9.6357e-07
18,1.33791e+07,N1,-1.37126e-06
19,8.03441e+06,N0,9.1597e-07
19,1.36157e+07,N1,1.36596e-06
20,7.82897e+06,N0,8.74788e-07
20,1.38199e+07,N1,1.35904e-06
21,7.64986e+06,N0,-8.43691e-07
21,1.39979e+07,N1,-1.35807e-06
22,7.49232e+06,N0,8.18109e-07
22,1.41545e+07,N1,1.35934e-06
23,7.35267e+06,N0,7.91522e-07
23,1.42933e+07,N1,1.35354e-06
24,7.22802e+06,N0,7.71768e-07
24,1.44173e+07,N1,1.35407e-06
25,7.11607e+06,N0,-7.53527e-07
25,1.45286e+07,N1,-1.35313e-06
26,7.01498e+06,N0,7.37411e-07
26,1.46291e+07,N1,1.35242e-06
27,6.92323e+06,N0,-7.20851e-07
27,1.47204e+07,N1,-1.34835e-06
28,6.83959e+06,N0,7.0806e-07
28,1.48036e+07,N1,1.34848e-06
29,6.76302e+06,N0,-6.96018e-07
29,1.48797e+07,N1,-1.3463e-06
30,6.69267e+06,N0,-6.86603e-07
30,1.49497e+07,N1,-1.34921e-06
31,6.6278e+06,N0,6.75973e-07
31,1.50143e+07,N1,1.3472e-06
32,6.5678e+06,N0,6.6639e-07
32,1.50739e+07,N1,1.34545e-06
33,6.51213e+06,N0,-9.99549e-07
33,1.51293e+07,N1,-9.96705e-07
34,6.46035e+06,N0,-9.94354e-07
34,1.51808e+07,N1,-9.93592e-07
35,6.41206e+06,N0,-9.99084e-07
35,1.52289e+07,N1,-9.82295e-07
36,6.36693e+06,N0,-9.96806e-07
36,1.52738e+07,N1,-9.77264e-07
37,6.32464e+06,N0,-9.93285e-07
37,1.53159e+07,N1,-9.70998e-07
38,6.28494e+06,N0,-9.97497e-07
38,1.53554e+07,N1,-9.64419e-07
39,6.24759e+06,N0,-9.87857e-07
39,1.53926e+07,N1,-9.53092e-07
40,6.2124e+06,N0,-9.92652e-07
40,1.54276e+07,N1,-9.52312e-07
41,6.17919e+06,N0,-9.96508e-07
41,1.54606e+07,N1,-9.45473e-07
42,6.14778e+06,N0,-9.94296e-07
42,1.54919e+07,N1,-9.41055e-07
43,6.11804e+06,N0,-9.99942e-07
43,1.55215e+07,N1,-9.34682e-07
44,6.08984e+06,N0,-9.95205e-07
44,1.55496e+07,N1,-9.26617e-07
45,6.06306e+06,N0,-9.98545e-07
45,1.55762e+07,N1,-9.34957e-07
46,6.03759e+06,N0,-9.95016e-07
46,1.56016e+07,N1,-9.2372e-07
47,6.01335e+06,N0,-9.996e-07
47,1.56257e+07,N1,-9.17722e-07
48,5.99024e+06,N0,-9.93794e-07
48,1.56487e+07,N1,-9.21593e-07
49,5.96819e+06,N0,-9.9733e-07
49,1.56706e+07,N1,-9.11756e-07
50,5.94713e+06,N0,-9.93641e-07
50,1.56916e+07,N1,-9.10026e-07
51,5.92699e+06,N0,-9.93095e-07
51,1.57117e+07,N1,-9.08188e-07
52,5.90771e+06,N0,-9.97083e-07
52,1.57309e+07,N1,-8.98878e-07
53,5.88924e+06,N0,-9.98079e-07
53,1.57492e+07,N1,-8.96576e-07
54,5.87153e+06,N0,-9.9661e-07
