pars,popsize,population,DXDT
0,1.37011e+07,N0,-1.86937e-06
0,1.47414e+07,N1,-1.77071e-06
1,1.03627e+07,N0,-1.18195e-06
1,1.79535e+07,N1,-1.80098e-06
2,7.85034e+06,N0,-7.74962e-07
2,2.03789e+07,N1,-1.7701e-06
3,6.31746e+06,N0,5.70748e-07
3,2.18621e+07,N1,1.73672e-06
4,5.41443e+06,N0,4.67684e-07
4,2.2737e+07,N1,1.72713e-06
5,4.84991e+06,N0,4.06326e-07
5,2.32844e+07,N1,1.71752e-06
6,4.4715e+06,N0,-3.67898e-07
6,2.36515e+07,N1,-1.71079e-06
7,4.20261e+06,N0,3.40151e-07
7,2.39125e+07,N1,1.70423e-06
8,4.00259e+06,N0,3.23209e-07
8,2.41066e+07,N1,1.71136e-06
9,3.84834e+06,N0,-3.06194e-07
9,2.42564e+07,N1,-1.69633e-06
10,3.72593e+06,N0,-2.94378e-07
10,2.43752e+07,N1,-1.69322e-06
11,3.62651e+06,N0,-9.93838e-07
11,2.44718e+07,N1,-9.75616e-07
12,3.54421e+06,N0,-9.82134e-07
12,2.45517e+07,N1,-9.93454e-07
13,3.47498e+06,N0,-9.8312e-07
13,2.4619e+07,N1,-9.67129e-07
14,3.41595e+06,N0,-9.86376e-07
14,2.46763e+07,N1,-9.66858e-07
15,3.36503e+06,N0,-9.97909e-07
15,2.47258e+07,N1,-9.45922e-07
16,3.32066e+06,N0,-9.93929e-07
16,2.47689e+07,N1,-9.49277e-07
17,3.28167e+06,N0,-9.95551e-07
17,2.48067e+07,N1,-9.26142e-07
18,3.24712e+06,N0,-9.98101e-07
18,2.48403e+07,N1,-9.31749e-07
19,3.21631e+06,N0,-9.87147e-07
19,2.48702e+07,N1,-9.30133e-07
20,3.18866e+06,N0,-9.94631e-07
20,2.48971e+07,N1,-9.17973e-07
21,3.16371e+06,N0,-9.76492e-07
21,2.49213e+07,N1,-9.4599e-07
22,3.14108e+06,N0,-9.74989e-07
22,2.49433e+07,N1,-9.37201e-07
23,3.12046e+06,N0,-9.98243e-07
23,2.49634e+07,N1,-9.16174e-07
24,3.1016e+06,N0,-9.92804e-07
24,2.49817e+07,N1,-9.11855e-07
25,3.08429e+06,N0,-9.9964e-07
25,2.49985e+07,N1,-9.12059e-07
26,3.06833e+06,N0,-9.99207e-07
26,2.5014e+07,N1,-8.9805e-07
27,3.05358e+06,N0,-9.87002e-07
27,2.50284e+07,N1,-9.20867e-07
28,3.0399e+06,N0,-9.76353e-07
28,2.50417e+07,N1,-9.28253e-07
29,3.02719e+06,N0,-9.80795e-07
29,2.5054e+07,N1,-9.24514e-07
30,3.01533e+06,N0,-9.8105e-07
30,2.50655e+07,N1,-9.09401e-07
31,3.00426e+06,N0,-9.76514e-07
31,2.50763e+07,N1,-9.13581e-07
32,2.99389e+06,N0,-9.77077e-07
32,2.50864e+07,N1,-9.29974e-07
33,2.98416e+06,N0,-9.97989e-07
33,2.50958e+07,N1,-8.96648e-07
34,2.97501e+06,N0,-9.76637e-07
34,2.51047e+07,N1,-9.21735e-07
35,2.9664e+06,N0,-9.78245e-07
35,2.51131e+07,N1,-9.19741e-07
36,2.95827e+06,N0,-9.9912e-07
36,2.5121e+07,N1,-8.91474e-07
37,2.95058e+06,N0,-9.9032e-07
37,2.51284e+07,N1,-9.07606e-07
38,2.94331e+06,N0,-9.73861e-07
38,2.51355e+07,N1,-9.25232e-07
39,2.93642e+06,N0,-9.99215e-07
39,2.51422e+07,N1,-8.90759e-07
40,2.92987e+06,N0,-9.90283e-07
40,2.51486e+07,N1,-8.95177e-07
41,2.92365e+06,N0,-9.754e-07
41,2.51546e+07,N1,-9.06589e-07
42,2.91773e+06,N0,-9.7647e-07
42,2.51604e+07,N1,-9.20253e-07
43,2.91209e+06,N0,-9.75891e-07
43,2.51659e+07,N1,-9.09784e-07
44,2.90671e+06,N0,-9.84706e-07
44,2.51711e+07,N1,-8.9961e-07
45,2.90157e+06,N0,-9.83713e-07
45,2.51761e+07,N1,-9.09698e-07
46,2.89665e+06,N0,-9.87406e-07
46,2.51809e+07,N1,-9.02628e-07
47,2.89195e+06,N0,-9.95507e-07
47,2.51854e+07,N1,-8.93033e-07
48,2.88745e+06,N0,-9.82243e-07
48,2.51898e+07,N1,-9.08279e-07
49,2.88313e+06,N0,-9.98247e-07
49,2.5194e+07,N1,-8.8205e-07
50,2.87899e+06,N0,-9.97115e-07
50,2.5198e+07,N1,-8.90765e-07
51,2.87501e+06,N0,-9.95085e-07
51,2.52019e+07,N1,-8.8718e-07
52,2.87119e+06,N0,-9.8857e-07
52,2.52056e+07,N1,-8.92004e-07
53,2.86751e+06,N0,-9.86729e-07
53,2.52092e+07,N1,-9.02141e-07
54,2.86397e+06,N0,-9.863e-07
54,2.52126e+07,N1,-8.95141e-07
55,2.86056e+06,N0,-9.79184e-07
55,2.52159e+07,N1,-9.02008e-07
56,2.85728e+06,N0,-9.71268e-07
56,2.52191e+07,N1,-9.16535e-07
57,2.85411e+06,N0,-9.7261e-07
57,2.52222e+07,N1,-9.01244e-07
58,2.85105e+06,N0,-9.82487e-07
58,2.52252e+07,N1,-8.99147e-07
59,2.84809e+06,N0,-9.87813e-07
59,2.52281e+07,N1,-9.06596e-07
60,2.84524e+06,N0,-9.83524e-07
60,2.52308e+07,N1,-8.96232e-07
61,2.84248e+06,N0,-9.7575e-07
61,2.52335e+07,N1,-9.15488e-07
62,2.83981e+06,N0,-9.99797e-07
62,2.52361e+07,N1,-8.81246e-07
63,2.83722e+06,N0,-9.99848e-07
63,2.52386e+07,N1,-8.78219e-07
64,2.83472e+06,N0,-9.80268e-07
64,2.52411e+07,N1,-8.86601e-07
65,2.83229e+06,N0,-9.70776e-07
65,2.52434e+07,N1,-9.14297e-07
66,2.82994e+06,N0,-9.85336e-07
66,2.52457e+07,N1,-9.00324e-07
67,2.82766e+06,N0,-9.73072e-07
67,2.52479e+07,N1,-9.05276e-07
68,2.82545e+06,N0,-9.91869e-07
68,2.52501e+07,N1,-8.77397e-07
69,2.8233e+06,N0,-9.74287e-07
69,2.52522e+07,N1,-9.02534e-07
70,2.82121e+06,N0,-9.6946e-07
70,2.52542e+07,N1,-9.05704e-07
71,2.81919e+06,N0,-9.98563e-07
71,2.52562e+07,N1,-8.76569e-07
72,2.81722e+06,N0,-9.76364e-07
72,2.52581e+07,N1,-8.99775e-07
73,2.8153e+06,N0,-9.79966e-07
73,2.52599e+07,N1,-9.01196e-07
74,2.81344e+06,N0,-9.76695e-07
74,2.52617e+07,N1,-9.00574e-07
75,2.81162e+06,N0,-9.84073e-07
75,2.52635e+07,N1,-8.89312e-07
76,2.80986e+06,N0,-9.70835e-07
76,2.52652e+07,N1,-8.98428e-07
77,2.80814e+06,N0,-9.94933e-07
77,2.52669e+07,N1,-8.8279e-07
78,2.80646e+06,N0,-9.99564e-07
78,2.52685e+07,N1,-8.77079e-07
79,2.80483e+06,N0,-9.98676e-07
79,2.52701e+07,N1,-8.72128e-07
80,2.80324e+06,N0,-9.96508e-07
80,2.52717e+07,N1,-8.76453e-07
81,2.80169e+06,N0,-9.74858e-07
81,2.52732e+07,N1,-9.00196e-07
82,2.80018e+06,N0,-9.7408e-07
82,2.52746e+07,N1,-9.06034e-07
83,2.7987e+06,N0,-9.77238e-07
83,2.52761e+07,N1,-8.93622e-07
84,2.79726e+06,N0,-9.94929e-07
84,2.52775e+07,N1,-8.83679e-07
85,2.79585e+06,N0,-9.8658e-07
85,2.52788e+07,N1,-8.93609e-07
86,2.79448e+06,N0,-9.88926e-07
86,2.52802e+07,N1,-8.86492e-07
87,2.79313e+06,N0,-9.90771e-07
87,2.52815e+07,N1,-8.84247e-07
88,2.79182e+06,N0,-9.99928e-07
88,2.52828e+07,N1,-8.786e-07
89,2.79054e+06,N0,-9.87322e-07
89,2.5284e+07,N1,-8.92209e-07
90,2.78929e+06,N0,-9.78816e-07
90,2.52852e+07,N1,-9.01077e-07
91,2.78806e+06,N0,-9.86154e-07
91,2.52864e+07,N1,-8.86982e-07
92,2.78686e+06,N0,-9.87733e-07
92,2.52876e+07,N1,-8.97824e-07
93,2.78569e+06,N0,-9.82225e-07
93,2.52887e+07,N1,-8.9394e-07
94,2.78454e+06,N0,-9.96504e-07
94,2.52898e+07,N1,-8.80595e-07
95,2.78342e+06,N0,-9.8029e-07
95,2.52909e+07,N1,-8.88527e-07
96,2.78232e+06,N0,-9.88472e-07
96,2.5292e+07,N1,-8.88383e-07
97,2.78124e+06,N0,-9.81276e-07
97,2.5293e+07,N1,-9.1118e-07
98,2.78019e+06,N0,-9.8682e-07
98,2.52941e+07,N1,-8.80408e-07
99,2.77916e+06,N0,-9.75364e-07
99,2.52951e+07,N1,-8.92458e-07
