pars1,popsize,population,location
1e-10,2.23213e+07,N0,Wall
1e-10,0.212828,N1,Wall
1e-10,1.38726e+07,N0,Lumen
1e-10,7.82929e+06,N1,Lumen
3e-10,2.23213e+07,N0,Wall
3e-10,0.638484,N1,Wall
3e-10,1.38726e+07,N0,Lumen
3e-10,7.82928e+06,N1,Lumen
9e-10,2.23213e+07,N0,Wall
9e-10,1.91545,N1,Wall
9e-10,1.38726e+07,N0,Lumen
9e-10,7.82928e+06,N1,Lumen
2.7e-09,2.23213e+07,N0,Wall
2.7e-09,5.74634,N1,Wall
2.7e-09,1.38726e+07,N0,Lumen
2.7e-09,7.82927e+06,N1,Lumen
8.1e-09,2.23213e+07,N0,Wall
8.1e-09,17.2389,N1,Wall
8.1e-09,1.38727e+07,N0,Lumen
8.1e-09,7.82922e+06,N1,Lumen
2.43e-08,2.23213e+07,N0,Wall
2.43e-08,51.7159,N1,Wall
2.43e-08,1.38728e+07,N0,Lumen
2.43e-08,7.8291e+06,N1,Lumen
7.29e-08,2.23212e+07,N0,Wall
7.29e-08,155.14,N1,Wall
7.29e-08,1.38731e+07,N0,Lumen
7.29e-08,7.82873e+06,N1,Lumen
2.187e-07,2.23208e+07,N0,Wall
2.187e-07,465.347,N1,Wall
2.187e-07,1.38743e+07,N0,Lumen
2.187e-07,7.82761e+06,N1,Lumen
6.561e-07,2.23199e+07,N0,Wall
6.561e-07,1395.39,N1,Wall
6.561e-07,1.38776e+07,N0,Lumen
6.561e-07,7.82424e+06,N1,Lumen
1.9683e-06,2.23171e+07,N0,Wall
1.9683e-06,4180.31,N1,Wall
1.9683e-06,1.38877e+07,N0,Lumen
1.9683e-06,7.81415e+06,N1,Lumen
5.9049e-06,2.23088e+07,N0,Wall
5.9049e-06,12488.2,N1,Wall
5.9049e-06,1.39179e+07,N0,Lumen
5.9049e-06,7.78382e+06,N1,Lumen
1.77147e-05,2.22842e+07,N0,Wall
1.77147e-05,36988.3,N1,Wall
1.77147e-05,1.4009e+07,N0,Lumen
1.77147e-05,7.69226e+06,N1,Lumen
5.31441e-05,2.22142e+07,N0,Wall
5.31441e-05,106639,N1,Wall
5.31441e-05,1.42875e+07,N0,Lumen
5.31441e-05,7.41264e+06,N1,Lumen
0.000159432,2.20403e+07,N0,Wall
0.000159432,279829,N1,Wall
0.000159432,1.517e+07,N0,Lumen
0.000159432,6.52786e+06,N1,Lumen
0.000478297,2.18801e+07,N0,Wall
0.000478297,439467,N1,Wall
0.000478297,1.82622e+07,N0,Lumen
0.000478297,3.43863e+06,N1,Lumen
0.00143489,2.23213e+07,N0,Wall
0.00143489,1.44013e-28,N1,Wall
0.00143489,2.17208e+07,N0,Lumen
0.00143489,3.02899e-28,N1,Lumen
0.00430467,2.23213e+07,N0,Wall
0.00430467,0.000294897,N1,Wall
0.00430467,2.17208e+07,N0,Lumen
0.00430467,2.26526e-05,N1,Lumen
0.012914,2.23213e+07,N0,Wall
0.012914,0.000267478,N1,Wall
0.012914,2.17208e+07,N0,Lumen
0.012914,3.16126e-11,N1,Lumen
0.038742,2.23213e+07,N0,Wall
0.038742,0.000269604,N1,Wall
0.038742,2.17208e+07,N0,Lumen
0.038742,7.86265e-12,N1,Lumen
