pars1,popsize,population,location
0,2232.13,N0,Wall
0,0,N1,Wall
0,2232.13,N0,Lumen
0,3.59065e-05,N1,Lumen
1,2232.13,N0,Wall
1,0,N1,Wall
1,2132.85,N0,Lumen
1,5.09024e-05,N1,Lumen
2,2232.13,N0,Wall
2,0,N1,Wall
2,2035,N0,Lumen
2,6.42285e-322,N1,Lumen
3,2232.13,N0,Wall
3,0,N1,Wall
3,1939.16,N0,Lumen
3,5.83301e-100,N1,Lumen
4,2232.13,N0,Wall
4,0,N1,Wall
4,403.927,N0,Lumen
4,1673.06,N1,Lumen
5,2232.13,N0,Wall
5,0,N1,Wall
5,165.779,N0,Lumen
5,1928.58,N1,Lumen
6,2232.13,N0,Wall
6,0,N1,Wall
6,103.977,N0,Lumen
6,1988.21,N1,Lumen
7,2232.13,N0,Wall
7,0,N1,Wall
7,76.0872,N0,Lumen
7,2010.43,N1,Lumen
8,2232.13,N0,Wall
8,0,N1,Wall
8,60.3078,N0,Lumen
8,2019.53,N1,Lumen
9,2232.13,N0,Wall
9,0,N1,Wall
9,50.2118,N0,Lumen
9,2022.68,N1,Lumen
10,2232.13,N0,Wall
10,0,N1,Wall
10,43.2346,N0,Lumen
10,2022.75,N1,Lumen
11,2232.13,N0,Wall
11,0,N1,Wall
11,38.1529,N0,Lumen
11,2021.11,N1,Lumen
12,2232.13,N0,Wall
12,0,N1,Wall
12,34.3089,N0,Lumen
12,2018.52,N1,Lumen
13,2232.13,N0,Wall
13,0,N1,Wall
13,31.3175,N0,Lumen
13,2015.41,N1,Lumen
14,2232.13,N0,Wall
14,0,N1,Wall
14,28.9375,N0,Lumen
14,2012.04,N1,Lumen
15,2232.13,N0,Wall
15,0,N1,Wall
15,27.0103,N0,Lumen
15,2008.59,N1,Lumen
16,2232.13,N0,Wall
16,0,N1,Wall
16,25.4272,N0,Lumen
16,2005.16,N1,Lumen
17,2232.13,N0,Wall
17,0,N1,Wall
17,24.1107,N0,Lumen
17,2001.83,N1,Lumen
18,2232.13,N0,Wall
18,0,N1,Wall
18,23.0044,N0,Lumen
18,1998.64,N1,Lumen
19,2232.13,N0,Wall
19,0,N1,Wall
19,22.0663,N0,Lumen
19,1995.61,N1,Lumen
20,2232.13,N0,Wall
20,0,N1,Wall
20,21.2643,N0,Lumen
20,1992.76,N1,Lumen
21,2232.13,N0,Wall
21,0,N1,Wall
21,20.5735,N0,Lumen
21,1990.1,N1,Lumen
22,2232.13,N0,Wall
22,0,N1,Wall
22,19.9744,N0,Lumen
22,1987.61,N1,Lumen
23,2232.13,N0,Wall
23,0,N1,Wall
23,19.4516,N0,Lumen
23,1985.29,N1,Lumen
24,2232.13,N0,Wall
24,0,N1,Wall
24,18.9927,N0,Lumen
24,1983.14,N1,Lumen
25,2232.13,N0,Wall
25,0,N1,Wall
25,18.5876,N0,Lumen
25,1981.14,N1,Lumen
26,2232.13,N0,Wall
26,0,N1,Wall
26,18.2282,N0,Lumen
26,1979.28,N1,Lumen
27,2232.13,N0,Wall
27,0,N1,Wall
27,17.9079,N0,Lumen
27,1977.55,N1,Lumen
28,2232.13,N0,Wall
28,0,N1,Wall
28,17.621,N0,Lumen
28,1975.95,N1,Lumen
29,2232.13,N0,Wall
29,0,N1,Wall
29,17.363,N0,Lumen
29,1974.46,N1,Lumen
30,2232.13,N0,Wall
30,0,N1,Wall
30,17.13,N0,Lumen
30,1973.07,N1,Lumen
31,2232.13,N0,Wall
31,0,N1,Wall
31,16.9188,N0,Lumen
31,1971.78,N1,Lumen
32,2232.13,N0,Wall
32,0,N1,Wall
32,16.7267,N0,Lumen
32,1970.57,N1,Lumen
33,2232.13,N0,Wall
33,0,N1,Wall
33,16.5514,N0,Lumen
33,1969.45,N1,Lumen
34,2232.13,N0,Wall
34,0,N1,Wall
34,16.3908,N0,Lumen
34,1968.39,N1,Lumen
35,2232.13,N0,Wall
35,0,N1,Wall
35,16.2433,N0,Lumen
35,1967.41,N1,Lumen
36,2232.13,N0,Wall
36,0,N1,Wall
36,16.1074,N0,Lumen
36,1966.48,N1,Lumen
37,2232.13,N0,Wall
37,0,N1,Wall
37,15.9819,N0,Lumen
37,1965.61,N1,Lumen
38,2232.13,N0,Wall
38,0,N1,Wall
38,15.8657,N0,Lumen
38,1964.79,N1,Lumen
39,2232.13,N0,Wall
39,0,N1,Wall
39,15.7579,N0,Lumen
39,1964.02,N1,Lumen
40,2232.13,N0,Wall
40,0,N1,Wall
40,15.6575,N0,Lumen
40,1963.29,N1,Lumen
41,2232.13,N0,Wall
41,0,N1,Wall
41,15.564,N0,Lumen
41,1962.6,N1,Lumen
42,2232.13,N0,Wall
42,0,N1,Wall
42,15.4766,N0,Lumen
42,1961.96,N1,Lumen
43,2232.13,N0,Wall
43,0,N1,Wall
43,15.3947,N0,Lumen
43,1961.34,N1,Lumen
44,2232.13,N0,Wall
44,0,N1,Wall
44,15.318,N0,Lumen
44,1960.76,N1,Lumen
45,2232.13,N0,Wall
45,0,N1,Wall
45,15.2459,N0,Lumen
45,1960.2,N1,Lumen
46,2232.13,N0,Wall
46,0,N1,Wall
46,15.178,N0,Lumen
46,1959.68,N1,Lumen
47,2232.13,N0,Wall
47,0,N1,Wall
47,15.1141,N0,Lumen
47,1959.18,N1,Lumen
48,2232.13,N0,Wall
48,0,N1,Wall
48,15.0537,N0,Lumen
48,1958.7,N1,Lumen
49,2232.13,N0,Wall
49,0,N1,Wall
49,14.9966,N0,Lumen
49,1958.25,N1,Lumen
50,2232.13,N0,Wall
50,0,N1,Wall
50,14.9425,N0,Lumen
50,1957.82,N1,Lumen
51,2232.13,N0,Wall
51,0,N1,Wall
51,14.8913,N0,Lumen
51,1957.41,N1,Lumen
52,2232.13,N0,Wall
52,0,N1,Wall
52,14.8426,N0,Lumen
52,1957.01,N1,Lumen
53,2232.13,N0,Wall
53,0,N1,Wall
53,14.7964,N0,Lumen
53,1956.63,N1,Lumen
54,2232.13,N0,Wall
54,0,N1,Wall
54,14.7524,N0,Lumen
54,1956.27,N1,Lumen
55,2232.13,N0,Wall
55,0,N1,Wall
55,14.7105,N0,Lumen
55,1955.93,N1,Lumen
56,2232.13,N0,Wall
56,0,N1,Wall
56,14.6705,N0,Lumen
56,1955.59,N1,Lumen
57,2232.13,N0,Wall
57,0,N1,Wall
57,14.6324,N0,Lumen
57,1955.27,N1,Lumen
58,2232.13,N0,Wall
58,0,N1,Wall
58,14.5959,N0,Lumen
58,1954.97,N1,Lumen
59,2232.13,N0,Wall
59,0,N1,Wall
59,14.561,N0,Lumen
59,1954.67,N1,Lumen
60,2232.13,N0,Wall
60,0,N1,Wall
60,14.5277,N0,Lumen
60,1954.39,N1,Lumen
61,2232.13,N0,Wall
61,0,N1,Wall
61,14.4957,N0,Lumen
61,1954.12,N1,Lumen
62,2232.13,N0,Wall
62,0,N1,Wall
62,14.465,N0,Lumen
62,1953.86,N1,Lumen
63,2232.13,N0,Wall
63,0,N1,Wall
63,14.4356,N0,Lumen
63,1953.6,N1,Lumen
64,2232.13,N0,Wall
64,0,N1,Wall
64,14.4073,N0,Lumen
64,1953.36,N1,Lumen
65,2232.13,N0,Wall
65,0,N1,Wall
65,14.3802,N0,Lumen
65,1953.13,N1,Lumen
66,2232.13,N0,Wall
66,0,N1,Wall
66,14.354,N0,Lumen
66,1952.9,N1,Lumen
67,2232.13,N0,Wall
67,0,N1,Wall
67,14.3289,N0,Lumen
67,1952.68,N1,Lumen
68,2232.13,N0,Wall
68,0,N1,Wall
68,14.3046,N0,Lumen
68,1952.47,N1,Lumen
69,2232.13,N0,Wall
69,0,N1,Wall
69,14.2813,N0,Lumen
69,1952.26,N1,Lumen
70,2232.13,N0,Wall
70,0,N1,Wall
70,14.2587,N0,Lumen
70,1952.06,N1,Lumen
71,2232.13,N0,Wall
71,0,N1,Wall
71,14.237,N0,Lumen
71,1951.87,N1,Lumen
72,2232.13,N0,Wall
72,0,N1,Wall
72,14.216,N0,Lumen
72,1951.68,N1,Lumen
73,2232.13,N0,Wall
73,0,N1,Wall
73,14.1957,N0,Lumen
73,1951.5,N1,Lumen
74,2232.13,N0,Wall
74,0,N1,Wall
74,14.1761,N0,Lumen
74,1951.33,N1,Lumen
75,2232.13,N0,Wall
75,0,N1,Wall
75,14.1571,N0,Lumen
75,1951.16,N1,Lumen
76,2232.13,N0,Wall
76,0,N1,Wall
76,14.1387,N0,Lumen
76,1951,N1,Lumen
77,2232.13,N0,Wall
77,0,N1,Wall
77,14.121,N0,Lumen
77,1950.84,N1,Lumen
78,2232.13,N0,Wall
78,0,N1,Wall
78,14.1037,N0,Lumen
78,1950.68,N1,Lumen
79,2232.13,N0,Wall
79,0,N1,Wall
79,14.0871,N0,Lumen
79,1950.53,N1,Lumen
80,2232.13,N0,Wall
80,0,N1,Wall
80,14.0709,N0,Lumen
80,1950.38,N1,Lumen
81,2232.13,N0,Wall
81,0,N1,Wall
81,14.0552,N0,Lumen
81,1950.24,N1,Lumen
82,2232.13,N0,Wall
82,0,N1,Wall
82,14.0399,N0,Lumen
82,1950.1,N1,Lumen
83,2232.13,N0,Wall
83,0,N1,Wall
83,14.0251,N0,Lumen
83,1949.97,N1,Lumen
84,2232.13,N0,Wall
84,0,N1,Wall
84,14.0107,N0,Lumen
84,1949.84,N1,Lumen
85,2232.13,N0,Wall
85,0,N1,Wall
85,13.9968,N0,Lumen
85,1949.71,N1,Lumen
86,2232.13,N0,Wall
86,0,N1,Wall
86,13.9832,N0,Lumen
86,1949.58,N1,Lumen
87,2232.13,N0,Wall
87,0,N1,Wall
