time,size,population,location
0.0005,16,R,Wall
0.0005,1.00017,N0,Wall
0.0005,1.00015e-05,N1,Wall
0.0005,0,AB,Wall
0.0005,16,R,Lumen
0.0005,1.00008,N0,Lumen
0.0005,1.00013e-05,N1,Lumen
0.0005,30,AB,Lumen
0.0639563,15.9998,R,Wall
0.0639563,1.02201,N0,Wall
0.0639563,1.01874e-05,N1,Wall
0.0639563,0,AB,Wall
0.0639563,15.9998,R,Lumen
0.0639563,1.01054,N0,Lumen
0.0639563,1.01629e-05,N1,Lumen
0.0639563,29.9999,AB,Lumen
0.109236,15.9996,R,Wall
0.109236,1.03788,N0,Wall
0.109236,1.03222e-05,N1,Wall
0.109236,0,AB,Wall
0.109236,15.9996,R,Lumen
0.109236,1.01807,N0,Lumen
0.109236,1.02799e-05,N1,Lumen
0.109236,29.9998,AB,Lumen
0.185759,15.9993,R,Wall
0.185759,1.06527,N0,Wall
0.185759,1.05541e-05,N1,Wall
0.185759,0,AB,Wall
0.185759,15.9993,R,Lumen
0.185759,1.03092,N0,Lumen
0.185759,1.04806e-05,N1,Lumen
0.185759,29.9997,AB,Lumen
0.241987,15.9991,R,Wall
0.241987,1.08586,N0,Wall
0.241987,1.07278e-05,N1,Wall
0.241987,0,AB,Wall
0.241987,15.9991,R,Lumen
0.241987,1.04047,N0,Lumen
0.241987,1.06306e-05,N1,Lumen
0.241987,29.9996,AB,Lumen
0.315083,15.9988,R,Wall
0.315083,1.11322,N0,Wall
0.315083,1.09578e-05,N1,Wall
0.315083,0,AB,Wall
0.315083,15.9989,R,Lumen
0.315083,1.05301,N0,Lumen
0.315083,1.08288e-05,N1,Lumen
0.315083,29.9995,AB,Lumen
0.407832,15.9985,R,Wall
0.407832,1.14892,N0,Wall
0.407832,1.12568e-05,N1,Wall
0.407832,0,AB,Wall
0.407832,15.9985,R,Lumen
0.407832,1.06914,N0,Lumen
0.407832,1.10857e-05,N1,Lumen
0.407832,29.9993,AB,Lumen
0.499617,15.9981,R,Wall
0.499617,1.18538,N0,Wall
0.499617,1.15607e-05,N1,Wall
0.499617,0,AB,Wall
0.499617,15.9982,R,Lumen
0.499617,1.08535,N0,Lumen
0.499617,1.13458e-05,N1,Lumen
0.499617,29.9991,AB,Lumen
0.590452,15.9978,R,Wall
0.590452,1.22261,N0,Wall
0.590452,1.18694e-05,N1,Wall
0.590452,0,AB,Wall
0.590452,15.9979,R,Lumen
0.590452,1.10163,N0,Lumen
0.590452,1.16092e-05,N1,Lumen
0.590452,29.999,AB,Lumen
0.680356,15.9974,R,Wall
0.680356,1.2606,N0,Wall
0.680356,1.21831e-05,N1,Wall
0.680356,0,AB,Wall
0.680356,15.9976,R,Lumen
0.680356,1.11798,N0,Lumen
0.680356,1.1876e-05,N1,Lumen
0.680356,29.9988,AB,Lumen
0.769349,15.997,R,Wall
0.769349,1.29937,N0,Wall
0.769349,1.25017e-05,N1,Wall
0.769349,0,AB,Wall
0.769349,15.9972,R,Lumen
0.769349,1.13441,N0,Lumen
0.769349,1.21461e-05,N1,Lumen
0.769349,29.9987,AB,Lumen
0.857449,15.9967,R,Wall
0.857449,1.33892,N0,Wall
0.857449,1.28253e-05,N1,Wall
0.857449,0,AB,Wall
0.857449,15.9969,R,Lumen
0.857449,1.15091,N0,Lumen
0.857449,1.24196e-05,N1,Lumen
0.857449,29.9985,AB,Lumen
0.944673,15.9963,R,Wall
0.944673,1.37927,N0,Wall
0.944673,1.31539e-05,N1,Wall
0.944673,0,AB,Wall
0.944673,15.9966,R,Lumen
0.944673,1.16748,N0,Lumen
0.944673,1.26964e-05,N1,Lumen
0.944673,29.9984,AB,Lumen
1.03104,15.996,R,Wall
1.03104,1.42042,N0,Wall
1.03104,1.34874e-05,N1,Wall
1.03104,0,AB,Wall
1.03104,15.9963,R,Lumen
1.03104,1.18413,N0,Lumen
1.03104,1.29765e-05,N1,Lumen
1.03104,29.9982,AB,Lumen
1.11656,15.9956,R,Wall
1.11656,1.46237,N0,Wall
1.11656,1.38261e-05,N1,Wall
1.11656,0,AB,Wall
1.11656,15.996,R,Lumen
1.11656,1.20084,N0,Lumen
1.11656,1.326e-05,N1,Lumen
1.11656,29.9981,AB,Lumen
1.20127,15.9952,R,Wall
1.20127,1.50515,N0,Wall
1.20127,1.41698e-05,N1,Wall
1.20127,0,AB,Wall
1.20127,15.9957,R,Lumen
1.20127,1.21763,N0,Lumen
1.20127,1.35469e-05,N1,Lumen
1.20127,29.998,AB,Lumen
1.28516,15.9949,R,Wall
1.28516,1.54874,N0,Wall
1.28516,1.45186e-05,N1,Wall
1.28516,0,AB,Wall
1.28516,15.9955,R,Lumen
1.28516,1.23449,N0,Lumen
1.28516,1.38371e-05,N1,Lumen
1.28516,29.9978,AB,Lumen
1.36825,15.9945,R,Wall
1.36825,1.59317,N0,Wall
1.36825,1.48726e-05,N1,Wall
1.36825,0,AB,Wall
1.36825,15.9952,R,Lumen
1.36825,1.25141,N0,Lumen
1.36825,1.41308e-05,N1,Lumen
1.36825,29.9977,AB,Lumen
1.45057,15.9941,R,Wall
1.45057,1.63844,N0,Wall
1.45057,1.52317e-05,N1,Wall
1.45057,0,AB,Wall
1.45057,15.9949,R,Lumen
1.45057,1.26841,N0,Lumen
1.45057,1.44278e-05,N1,Lumen
1.45057,29.9976,AB,Lumen
1.53213,15.9937,R,Wall
1.53213,1.68456,N0,Wall
1.53213,1.5596e-05,N1,Wall
1.53213,0,AB,Wall
1.53213,15.9946,R,Lumen
1.53213,1.28548,N0,Lumen
1.53213,1.47282e-05,N1,Lumen
1.53213,29.9974,AB,Lumen
1.61293,15.9934,R,Wall
1.61293,1.73153,N0,Wall
1.61293,1.59654e-05,N1,Wall
1.61293,0,AB,Wall
1.61293,15.9943,R,Lumen
1.61293,1.30262,N0,Lumen
1.61293,1.5032e-05,N1,Lumen
1.61293,29.9973,AB,Lumen
1.693,15.993,R,Wall
1.693,1.77936,N0,Wall
1.693,1.63401e-05,N1,Wall
1.693,0,AB,Wall
1.693,15.9941,R,Lumen
1.693,1.31982,N0,Lumen
1.693,1.53392e-05,N1,Lumen
1.693,29.9972,AB,Lumen
1.77235,15.9926,R,Wall
1.77235,1.82807,N0,Wall
1.77235,1.67201e-05,N1,Wall
1.77235,0,AB,Wall
1.77235,15.9938,R,Lumen
1.77235,1.3371,N0,Lumen
1.77235,1.56499e-05,N1,Lumen
1.77235,29.997,AB,Lumen
1.85098,15.9922,R,Wall
1.85098,1.87765,N0,Wall
1.85098,1.71053e-05,N1,Wall
1.85098,0,AB,Wall
1.85098,15.9935,R,Lumen
1.85098,1.35444,N0,Lumen
1.85098,1.5964e-05,N1,Lumen
1.85098,29.9969,AB,Lumen
1.92892,15.9918,R,Wall
1.92892,1.92813,N0,Wall
1.92892,1.74959e-05,N1,Wall
1.92892,0,AB,Wall
1.92892,15.9933,R,Lumen
1.92892,1.37185,N0,Lumen
1.92892,1.62815e-05,N1,Lumen
1.92892,29.9968,AB,Lumen
2.00617,15.9914,R,Wall
2.00617,1.97949,N0,Wall
2.00617,1.78917e-05,N1,Wall
2.00617,0,AB,Wall
2.00617,15.993,R,Lumen
2.00617,1.38933,N0,Lumen
2.00617,1.66024e-05,N1,Lumen
2.00617,29.9967,AB,Lumen
2.08275,15.991,R,Wall
2.08275,2.03176,N0,Wall
2.08275,1.82929e-05,N1,Wall
2.08275,0,AB,Wall
2.08275,15.9928,R,Lumen
2.08275,1.40687,N0,Lumen
2.08275,1.69268e-05,N1,Lumen
2.08275,29.9965,AB,Lumen
2.15867,15.9906,R,Wall
2.15867,2.08494,N0,Wall
2.15867,1.86995e-05,N1,Wall
2.15867,0,AB,Wall
2.15867,15.9925,R,Lumen
2.15867,1.42449,N0,Lumen
2.15867,1.72546e-05,N1,Lumen
2.15867,29.9964,AB,Lumen
2.23394,15.9902,R,Wall
2.23394,2.13904,N0,Wall
2.23394,1.91115e-05,N1,Wall
2.23394,0,AB,Wall
2.23394,15.9922,R,Lumen
2.23394,1.44217,N0,Lumen
2.23394,1.75859e-05,N1,Lumen
2.23394,29.9963,AB,Lumen
2.30857,15.9898,R,Wall
2.30857,2.19406,N0,Wall
2.30857,1.95289e-05,N1,Wall
2.30857,0,AB,Wall
2.30857,15.992,R,Lumen
2.30857,1.45991,N0,Lumen
2.30857,1.79207e-05,N1,Lumen
2.30857,29.9962,AB,Lumen
2.38257,15.9894,R,Wall
2.38257,2.25002,N0,Wall
2.38257,1.99518e-05,N1,Wall
2.38257,0,AB,Wall
2.38257,15.9917,R,Lumen
2.38257,1.47772,N0,Lumen
2.38257,1.82589e-05,N1,Lumen
2.38257,29.996,AB,Lumen
2.45596,15.989,R,Wall
2.45596,2.30692,N0,Wall
2.45596,2.03801e-05,N1,Wall
2.45596,0,AB,Wall
2.45596,15.9915,R,Lumen
2.45596,1.4956,N0,Lumen
2.45596,1.86007e-05,N1,Lumen
2.45596,29.9959,AB,Lumen
2.52874,15.9885,R,Wall
2.52874,2.36477,N0,Wall
2.52874,2.08139e-05,N1,Wall
2.52874,0,AB,Wall
2.52874,15.9912,R,Lumen
2.52874,1.51355,N0,Lumen
2.52874,1.89459e-05,N1,Lumen
2.52874,29.9958,AB,Lumen
2.60092,15.9881,R,Wall
2.60092,2.42358,N0,Wall
2.60092,2.12533e-05,N1,Wall
2.60092,0,AB,Wall
2.60092,15.991,R,Lumen
2.60092,1.53155,N0,Lumen
2.60092,1.92946e-05,N1,Lumen
2.60092,29.9957,AB,Lumen
2.67251,15.9877,R,Wall
2.67251,2.48335,N0,Wall
2.67251,2.16982e-05,N1,Wall
2.67251,0,AB,Wall
2.67251,15.9908,R,Lumen
2.67251,1.54963,N0,Lumen
2.67251,1.96468e-05,N1,Lumen
2.67251,29.9956,AB,Lumen
2.74352,15.9872,R,Wall
2.74352,2.5441,N0,Wall
2.74352,2.21486e-05,N1,Wall
2.74352,0,AB,Wall
2.74352,15.9905,R,Lumen
2.74352,1.56777,N0,Lumen
2.74352,2.00025e-05,N1,Lumen
2.74352,29.9955,AB,Lumen
2.81397,15.9868,R,Wall
2.81397,2.60583,N0,Wall
2.81397,2.26047e-05,N1,Wall
2.81397,0,AB,Wall
2.81397,15.9903,R,Lumen
2.81397,1.58597,N0,Lumen
2.81397,2.03617e-05,N1,Lumen
2.81397,29.9953,AB,Lumen
2.88386,15.9864,R,Wall
2.88386,2.66855,N0,Wall
2.88386,2.30664e-05,N1,Wall
2.88386,0,AB,Wall
2.88386,15.99,R,Lumen
2.88386,1.60423,N0,Lumen
2.88386,2.07244e-05,N1,Lumen
2.88386,29.9952,AB,Lumen
2.9532,15.9859,R,Wall
2.9532,2.73226,N0,Wall
2.9532,2.35337e-05,N1,Wall
2.9532,0,AB,Wall
2.9532,15.9898,R,Lumen
2.9532,1.62256,N0,Lumen
2.9532,2.10907e-05,N1,Lumen
2.9532,29.9951,AB,Lumen
3.02199,15.9855,R,Wall
3.02199,2.79698,N0,Wall
3.02199,2.40067e-05,N1,Wall
3.02199,0,AB,Wall
3.02199,15.9896,R,Lumen
3.02199,1.64096,N0,Lumen
3.02199,2.14605e-05,N1,Lumen
3.02199,29.995,AB,Lumen
3.09025,15.985,R,Wall
3.09025,2.86271,N0,Wall
3.09025,2.44853e-05,N1,Wall
3.09025,0,AB,Wall
3.09025,15.9893,R,Lumen
3.09025,1.65942,N0,Lumen
3.09025,2.18339e-05,N1,Lumen
3.09025,29.9949,AB,Lumen
3.15799,15.9845,R,Wall
3.15799,2.92946,N0,Wall
3.15799,2.49697e-05,N1,Wall
3.15799,0,AB,Wall
3.15799,15.9891,R,Lumen
3.15799,1.67794,N0,Lumen
3.15799,2.22107e-05,N1,Lumen
3.15799,29.9948,AB,Lumen
3.22521,15.9841,R,Wall
3.22521,2.99724,N0,Wall
3.22521,2.54598e-05,N1,Wall
3.22521,0,AB,Wall
3.22521,15.9889,R,Lumen
3.22521,1.69652,N0,Lumen
3.22521,2.25912e-05,N1,Lumen
3.22521,29.9947,AB,Lumen
3.29192,15.9836,R,Wall
3.29192,3.06606,N0,Wall
3.29192,2.59557e-05,N1,Wall
3.29192,0,AB,Wall
3.29192,15.9886,R,Lumen
3.29192,1.71516,N0,Lumen
3.29192,2.29752e-05,N1,Lumen
3.29192,29.9946,AB,Lumen
3.35813,15.9831,R,Wall
3.35813,3.13592,N0,Wall
3.35813,2.64573e-05,N1,Wall
3.35813,0,AB,Wall
3.35813,15.9884,R,Lumen
3.35813,1.73387,N0,Lumen
3.35813,2.33627e-05,N1,Lumen
3.35813,29.9944,AB,Lumen
3.42384,15.9826,R,Wall
3.42384,3.20683,N0,Wall
3.42384,2.69647e-05,N1,Wall
3.42384,0,AB,Wall
3.42384,15.9882,R,Lumen
3.42384,1.75264,N0,Lumen
3.42384,2.37539e-05,N1,Lumen
3.42384,29.9943,AB,Lumen
3.48907,15.9821,R,Wall
3.48907,3.2788,N0,Wall
3.48907,2.7478e-05,N1,Wall
3.48907,0,AB,Wall
3.48907,15.9879,R,Lumen
3.48907,1.77147,N0,Lumen
3.48907,2.41486e-05,N1,Lumen
3.48907,29.9942,AB,Lumen
3.55382,15.9816,R,Wall
