pars1,pars2,popsize,population,location
1e-06,1e-05,8.62958e+06,N0,Wall
1e-06,1e-05,0,N1,Wall
1e-06,1e-05,4.27985e+07,N0,Lumen
1e-06,1e-05,0,N1,Lumen
2e-06,2e-05,8.63236e+06,N0,Wall
2e-06,2e-05,0,N1,Wall
2e-06,2e-05,4.2797e+07,N0,Lumen
2e-06,2e-05,0,N1,Lumen
4e-06,4e-05,8.63791e+06,N0,Wall
4e-06,4e-05,0,N1,Wall
4e-06,4e-05,4.27939e+07,N0,Lumen
4e-06,4e-05,0,N1,Lumen
8e-06,8e-05,8.64899e+06,N0,Wall
8e-06,8e-05,0,N1,Wall
8e-06,8e-05,4.27878e+07,N0,Lumen
8e-06,8e-05,0,N1,Lumen
1.6e-05,0.00016,8.67107e+06,N0,Wall
1.6e-05,0.00016,0,N1,Wall
1.6e-05,0.00016,4.27757e+07,N0,Lumen
1.6e-05,0.00016,0,N1,Lumen
3.2e-05,0.00032,8.71494e+06,N0,Wall
3.2e-05,0.00032,0,N1,Wall
3.2e-05,0.00032,4.27514e+07,N0,Lumen
3.2e-05,0.00032,0,N1,Lumen
6.4e-05,0.00064,8.80154e+06,N0,Wall
6.4e-05,0.00064,0,N1,Wall
6.4e-05,0.00064,4.27027e+07,N0,Lumen
6.4e-05,0.00064,0,N1,Lumen
0.000128,0.00128,8.97041e+06,N0,Wall
0.000128,0.00128,0,N1,Wall
0.000128,0.00128,4.26056e+07,N0,Lumen
0.000128,0.00128,0,N1,Lumen
0.000256,0.00256,9.29286e+06,N0,Wall
0.000256,0.00256,0,N1,Wall
0.000256,0.00256,4.24116e+07,N0,Lumen
0.000256,0.00256,0,N1,Lumen
0.000512,0.00512,9.87166e+06,N0,Wall
0.000512,0.00512,4806.49,N1,Wall
0.000512,0.00512,4.15771e+07,N0,Lumen
0.000512,0.00512,427900,N1,Lumen
0.001024,0.01024,9.5756e+06,N0,Wall
0.001024,0.01024,412304,N1,Wall
0.001024,0.01024,2.16044e+07,N0,Lumen
0.001024,0.01024,1.88778e+07,N1,Lumen
0.002048,0.02048,7.68477e+06,N0,Wall
0.002048,0.02048,1.795e+06,N1,Wall
0.002048,0.02048,5.01778e+06,N0,Lumen
0.002048,0.02048,3.4134e+07,N1,Lumen
0.004096,0.04096,5.49397e+06,N0,Wall
0.004096,0.04096,3.99868e+06,N1,Wall
0.004096,0.04096,1.54099e+06,N0,Lumen
0.004096,0.04096,3.70016e+07,N1,Lumen
0.008192,0.08192,3.05935e+06,N0,Wall
0.008192,0.08192,6.94796e+06,N1,Wall
0.008192,0.08192,623628,N0,Lumen
0.008192,0.08192,3.71149e+07,N1,Lumen
0.016384,0.16384,1.44172e+06,N0,Wall
0.016384,0.16384,9.82213e+06,N1,Wall
0.016384,0.16384,274879,N0,Lumen
0.016384,0.16384,3.59481e+07,N1,Lumen
0.032768,0.32768,758852,N0,Wall
0.032768,0.32768,1.26149e+07,N1,Wall
0.032768,0.32768,120882,N0,Lumen
0.032768,0.32768,3.30414e+07,N1,Lumen
0.065536,0.65536,460457,N0,Wall
0.065536,0.65536,1.54071e+07,N1,Wall
0.065536,0.65536,47411.8,N0,Lumen
0.065536,0.65536,2.64528e+07,N1,Lumen
0.131072,1.31072,398982,N0,Wall
0.131072,1.31072,1.13812e+07,N1,Wall
0.131072,1.31072,5134.57,N0,Lumen
0.131072,1.31072,5.74933e+06,N1,Lumen
0.262144,2.62144,8.6268e+06,N0,Wall
0.262144,2.62144,0,N1,Wall
0.262144,2.62144,0,N0,Lumen
0.262144,2.62144,0,N1,Lumen
1e-06,1e-05,8.62958e+06,N0,Wall
1e-06,1e-05,0,N1,Wall
1e-06,1e-05,4.27985e+07,N0,Lumen
1e-06,1e-05,0,N1,Lumen
2e-06,2e-05,8.63236e+06,N0,Wall
2e-06,2e-05,0,N1,Wall
2e-06,2e-05,4.2797e+07,N0,Lumen
2e-06,2e-05,0,N1,Lumen
4e-06,4e-05,8.63791e+06,N0,Wall
4e-06,4e-05,0,N1,Wall
4e-06,4e-05,4.27939e+07,N0,Lumen
4e-06,4e-05,0,N1,Lumen
8e-06,8e-05,8.64899e+06,N0,Wall
8e-06,8e-05,0,N1,Wall
8e-06,8e-05,4.27878e+07,N0,Lumen
8e-06,8e-05,0,N1,Lumen
1.6e-05,0.00016,8.67107e+06,N0,Wall
1.6e-05,0.00016,0,N1,Wall
1.6e-05,0.00016,4.27757e+07,N0,Lumen
1.6e-05,0.00016,0,N1,Lumen
3.2e-05,0.00032,8.71494e+06,N0,Wall
3.2e-05,0.00032,0,N1,Wall
3.2e-05,0.00032,4.27514e+07,N0,Lumen
3.2e-05,0.00032,0,N1,Lumen
6.4e-05,0.00064,8.80154e+06,N0,Wall
6.4e-05,0.00064,0,N1,Wall
6.4e-05,0.00064,4.27027e+07,N0,Lumen
6.4e-05,0.00064,0,N1,Lumen
0.000128,0.00128,8.97041e+06,N0,Wall
0.000128,0.00128,0,N1,Wall
0.000128,0.00128,4.26056e+07,N0,Lumen
0.000128,0.00128,0,N1,Lumen
0.000256,0.00256,9.29286e+06,N0,Wall
0.000256,0.00256,0,N1,Wall
0.000256,0.00256,4.24116e+07,N0,Lumen
0.000256,0.00256,0,N1,Lumen
0.000512,0.00512,9.87166e+06,N0,Wall
0.000512,0.00512,4806.49,N1,Wall
0.000512,0.00512,4.15771e+07,N0,Lumen
0.000512,0.00512,427900,N1,Lumen
0.001024,0.01024,9.5756e+06,N0,Wall
0.001024,0.01024,412304,N1,Wall
0.001024,0.01024,2.16044e+07,N0,Lumen
0.001024,0.01024,1.88778e+07,N1,Lumen
0.002048,0.02048,7.68477e+06,N0,Wall
0.002048,0.02048,1.795e+06,N1,Wall
0.002048,0.02048,5.01778e+06,N0,Lumen
0.002048,0.02048,3.4134e+07,N1,Lumen
0.004096,0.04096,5.49397e+06,N0,Wall
0.004096,0.04096,3.99868e+06,N1,Wall
0.004096,0.04096,1.54099e+06,N0,Lumen
0.004096,0.04096,3.70016e+07,N1,Lumen
0.008192,0.08192,3.05935e+06,N0,Wall
0.008192,0.08192,6.94796e+06,N1,Wall
0.008192,0.08192,623628,N0,Lumen
0.008192,0.08192,3.71149e+07,N1,Lumen
0.016384,0.16384,1.44172e+06,N0,Wall
0.016384,0.16384,9.82213e+06,N1,Wall
0.016384,0.16384,274879,N0,Lumen
0.016384,0.16384,3.59481e+07,N1,Lumen
0.032768,0.32768,758852,N0,Wall
0.032768,0.32768,1.26149e+07,N1,Wall
0.032768,0.32768,120882,N0,Lumen
0.032768,0.32768,3.30414e+07,N1,Lumen
0.065536,0.65536,460457,N0,Wall
0.065536,0.65536,1.54071e+07,N1,Wall
0.065536,0.65536,47411.8,N0,Lumen
0.065536,0.65536,2.64528e+07,N1,Lumen
