pars,popsize,population,location
1e-11,8.6268e+06,N0,Wall
1e-11,0,N1,Wall
1e-11,4.28e+07,N0,Lumen
1e-11,0,N1,Lumen
3e-11,8.6268e+06,N0,Wall
3e-11,0,N1,Wall
3e-11,4.28e+07,N0,Lumen
3e-11,0,N1,Lumen
9e-11,8.6268e+06,N0,Wall
9e-11,0,N1,Wall
9e-11,4.28e+07,N0,Lumen
9e-11,0,N1,Lumen
2.7e-10,8.6268e+06,N0,Wall
2.7e-10,0,N1,Wall
2.7e-10,4.28e+07,N0,Lumen
2.7e-10,0,N1,Lumen
8.1e-10,8.6268e+06,N0,Wall
8.1e-10,0,N1,Wall
8.1e-10,4.28e+07,N0,Lumen
8.1e-10,0,N1,Lumen
2.43e-09,8.6268e+06,N0,Wall
2.43e-09,0,N1,Wall
2.43e-09,4.28e+07,N0,Lumen
2.43e-09,0,N1,Lumen
7.29e-09,8.62681e+06,N0,Wall
7.29e-09,0,N1,Wall
7.29e-09,4.28e+07,N0,Lumen
7.29e-09,0,N1,Lumen
2.187e-08,8.62681e+06,N0,Wall
2.187e-08,0,N1,Wall
2.187e-08,4.28e+07,N0,Lumen
2.187e-08,0,N1,Lumen
6.561e-08,8.62682e+06,N0,Wall
6.561e-08,0,N1,Wall
6.561e-08,4.28e+07,N0,Lumen
6.561e-08,0,N1,Lumen
1.9683e-07,8.62686e+06,N0,Wall
1.9683e-07,0,N1,Wall
1.9683e-07,4.28e+07,N0,Lumen
1.9683e-07,0,N1,Lumen
5.9049e-07,8.62697e+06,N0,Wall
5.9049e-07,0,N1,Wall
5.9049e-07,4.27999e+07,N0,Lumen
5.9049e-07,0,N1,Lumen
1.77147e-06,8.6273e+06,N0,Wall
1.77147e-06,0,N1,Wall
1.77147e-06,4.27997e+07,N0,Lumen
1.77147e-06,0,N1,Lumen
5.31441e-06,8.62828e+06,N0,Wall
5.31441e-06,0,N1,Wall
5.31441e-06,4.27992e+07,N0,Lumen
5.31441e-06,0,N1,Lumen
1.59432e-05,8.63123e+06,N0,Wall
1.59432e-05,0,N1,Wall
1.59432e-05,4.27976e+07,N0,Lumen
1.59432e-05,0,N1,Lumen
4.78297e-05,8.64008e+06,N0,Wall
4.78297e-05,0,N1,Wall
4.78297e-05,4.27927e+07,N0,Lumen
4.78297e-05,0,N1,Lumen
0.000143489,8.66652e+06,N0,Wall
0.000143489,0,N1,Wall
0.000143489,4.27782e+07,N0,Lumen
0.000143489,0,N1,Lumen
0.000430467,8.74501e+06,N0,Wall
0.000430467,0,N1,Wall
0.000430467,4.27346e+07,N0,Lumen
0.000430467,0,N1,Lumen
0.0012914,8.97337e+06,N0,Wall
0.0012914,0,N1,Wall
0.0012914,4.26039e+07,N0,Lumen
0.0012914,0,N1,Lumen
0.0038742,9.60555e+06,N0,Wall
0.0038742,0,N1,Wall
0.0038742,4.22026e+07,N0,Lumen
0.0038742,9906.11,N1,Lumen
0.0116226,9.54509e+06,N0,Wall
0.0116226,0,N1,Wall
0.0116226,1.31376e+07,N0,Lumen
0.0116226,2.6942e+07,N1,Lumen
0.0348678,8.98274e+06,N0,Wall
0.0348678,1.15242,N1,Wall
0.0348678,1.62184e+06,N0,Lumen
0.0348678,3.76646e+07,N1,Lumen
0.104604,8.90401e+06,N0,Wall
0.104604,1.23287,N1,Wall
0.104604,418204,N0,Lumen
0.104604,3.87852e+07,N1,Lumen
0.313811,8.88448e+06,N0,Wall
0.313811,1.25309,N1,Wall
0.313811,129362,N0,Lumen
0.313811,3.90541e+07,N1,Lumen
0.941432,8.87853e+06,N0,Wall
0.941432,1.25944,N1,Wall
0.941432,42103.5,N0,Lumen
0.941432,3.91353e+07,N1,Lumen
2.8243,8.8766e+06,N0,Wall
2.8243,1.26169,N1,Wall
2.8243,13924.8,N0,Lumen
2.8243,3.91615e+07,N1,Lumen
8.47289,8.87597e+06,N0,Wall
8.47289,1.26258,N1,Wall
8.47289,4629.53,N0,Lumen
8.47289,3.91702e+07,N1,Lumen
25.4187,8.87575e+06,N0,Wall
25.4187,1.26285,N1,Wall
25.4187,1541.84,N0,Lumen
25.4187,3.9173e+07,N1,Lumen
76.256,8.87568e+06,N0,Wall
76.256,1.25973,N1,Wall
76.256,513.798,N0,Lumen
76.256,3.9174e+07,N1,Lumen
228.768,8.87566e+06,N0,Wall
228.768,1.25975,N1,Wall
228.768,171.249,N0,Lumen
228.768,3.91743e+07,N1,Lumen
686.304,8.87565e+06,N0,Wall
686.304,1.25976,N1,Wall
686.304,57.0813,N0,Lumen
686.304,3.91744e+07,N1,Lumen
2058.91,8.87565e+06,N0,Wall
2058.91,1.25976,N1,Wall
2058.91,19.0269,N0,Lumen
2058.91,3.91745e+07,N1,Lumen
6176.73,8.87565e+06,N0,Wall
6176.73,1.25976,N1,Wall
6176.73,6.34228,N0,Lumen
6176.73,3.91745e+07,N1,Lumen
