pars,popsize,population,location
5,2.2268e+06,N0,Wall
5,0,N1,Wall
5,4.28e+07,N0,Lumen
5,0,N1,Lumen
6,3.8268e+06,N0,Wall
6,0,N1,Wall
6,4.28e+07,N0,Lumen
6,0,N1,Lumen
7,5.4268e+06,N0,Wall
7,0,N1,Wall
7,4.28e+07,N0,Lumen
7,0,N1,Lumen
8,7.0268e+06,N0,Wall
8,0,N1,Wall
8,4.28e+07,N0,Lumen
8,0,N1,Lumen
9,8.6268e+06,N0,Wall
9,0,N1,Wall
9,4.28e+07,N0,Lumen
9,0,N1,Lumen
10,1.02268e+07,N0,Wall
10,0,N1,Wall
10,4.28e+07,N0,Lumen
10,0,N1,Lumen
11,1.18268e+07,N0,Wall
11,0,N1,Wall
11,4.28e+07,N0,Lumen
11,0,N1,Lumen
12,1.34268e+07,N0,Wall
12,0,N1,Wall
12,4.28e+07,N0,Lumen
12,0,N1,Lumen
13,1.50268e+07,N0,Wall
13,0,N1,Wall
13,4.28e+07,N0,Lumen
13,0,N1,Lumen
14,1.66268e+07,N0,Wall
14,0,N1,Wall
14,4.28e+07,N0,Lumen
14,0,N1,Lumen
15,1.82268e+07,N0,Wall
15,0,N1,Wall
15,4.28e+07,N0,Lumen
15,0,N1,Lumen
16,1.98268e+07,N0,Wall
16,0,N1,Wall
16,4.28e+07,N0,Lumen
16,0,N1,Lumen
17,2.14268e+07,N0,Wall
17,0,N1,Wall
17,4.28e+07,N0,Lumen
17,0,N1,Lumen
18,2.30268e+07,N0,Wall
18,0,N1,Wall
18,4.28e+07,N0,Lumen
18,0,N1,Lumen
19,2.46268e+07,N0,Wall
19,0,N1,Wall
19,4.28e+07,N0,Lumen
19,0,N1,Lumen
20,2.62268e+07,N0,Wall
20,0,N1,Wall
20,4.28e+07,N0,Lumen
20,0,N1,Lumen
21,2.78268e+07,N0,Wall
21,0,N1,Wall
21,4.28e+07,N0,Lumen
21,0,N1,Lumen
22,2.94268e+07,N0,Wall
22,0,N1,Wall
22,4.28e+07,N0,Lumen
22,0,N1,Lumen
23,3.10268e+07,N0,Wall
23,0,N1,Wall
23,4.28e+07,N0,Lumen
23,0,N1,Lumen
24,3.26268e+07,N0,Wall
24,0,N1,Wall
24,4.28e+07,N0,Lumen
24,0,N1,Lumen
25,3.42268e+07,N0,Wall
25,0,N1,Wall
25,4.28e+07,N0,Lumen
25,0,N1,Lumen
26,3.57351e+07,N0,Wall
26,88999.2,N1,Wall
26,4.28e+07,N0,Lumen
26,0,N1,Lumen
27,2.83837e+07,N0,Wall
27,8.77168e+06,N1,Wall
27,4.28e+07,N0,Lumen
27,2.74107,N1,Lumen
28,2.10796e+07,N0,Wall
28,1.74039e+07,N1,Wall
28,4.28e+07,N0,Lumen
28,5.43872,N1,Lumen
29,1.54437e+07,N0,Wall
29,2.44217e+07,N1,Wall
29,4.28e+07,N0,Lumen
29,7.63179,N1,Lumen
30,1.1513e+07,N0,Wall
30,2.97958e+07,N1,Wall
30,4.28e+07,N0,Lumen
30,9.31181,N1,Lumen
31,8.92592e+06,N0,Wall
31,3.38777e+07,N1,Wall
31,4.28e+07,N0,Lumen
31,10.6161,N1,Lumen
32,7.22475e+06,N0,Wall
32,3.71089e+07,N1,Wall
32,4.28e+07,N0,Lumen
32,11.6259,N1,Lumen
33,6.06953e+06,N0,Wall
33,3.98161e+07,N1,Wall
33,4.28e+07,N0,Lumen
