pars,popsize,population,location
1e-11,8.6268e+06,N0,Wall
1e-11,0,N1,Wall
1e-11,4.28e+07,N0,Lumen
1e-11,0,N1,Lumen
3e-11,8.6268e+06,N0,Wall
3e-11,0,N1,Wall
3e-11,4.28e+07,N0,Lumen
3e-11,0,N1,Lumen
9e-11,8.6268e+06,N0,Wall
9e-11,0,N1,Wall
9e-11,4.28e+07,N0,Lumen
9e-11,0,N1,Lumen
2.7e-10,8.6268e+06,N0,Wall
2.7e-10,0,N1,Wall
2.7e-10,4.28e+07,N0,Lumen
2.7e-10,0,N1,Lumen
8.1e-10,8.6268e+06,N0,Wall
8.1e-10,0,N1,Wall
8.1e-10,4.28e+07,N0,Lumen
8.1e-10,0,N1,Lumen
2.43e-09,8.6268e+06,N0,Wall
2.43e-09,0,N1,Wall
2.43e-09,4.28e+07,N0,Lumen
2.43e-09,0,N1,Lumen
7.29e-09,8.6268e+06,N0,Wall
7.29e-09,0,N1,Wall
7.29e-09,4.28e+07,N0,Lumen
7.29e-09,0,N1,Lumen
2.187e-08,8.6268e+06,N0,Wall
2.187e-08,0,N1,Wall
2.187e-08,4.28e+07,N0,Lumen
2.187e-08,0,N1,Lumen
6.561e-08,8.6268e+06,N0,Wall
6.561e-08,0,N1,Wall
6.561e-08,4.28e+07,N0,Lumen
6.561e-08,0,N1,Lumen
1.9683e-07,8.6268e+06,N0,Wall
1.9683e-07,0,N1,Wall
1.9683e-07,4.28e+07,N0,Lumen
1.9683e-07,0,N1,Lumen
5.9049e-07,8.6268e+06,N0,Wall
5.9049e-07,0,N1,Wall
5.9049e-07,4.28e+07,N0,Lumen
5.9049e-07,0,N1,Lumen
1.77147e-06,8.6268e+06,N0,Wall
1.77147e-06,0,N1,Wall
1.77147e-06,4.28e+07,N0,Lumen
1.77147e-06,0,N1,Lumen
5.31441e-06,8.6268e+06,N0,Wall
5.31441e-06,0,N1,Wall
5.31441e-06,4.28e+07,N0,Lumen
5.31441e-06,0,N1,Lumen
1.59432e-05,8.6268e+06,N0,Wall
1.59432e-05,0,N1,Wall
1.59432e-05,4.28e+07,N0,Lumen
1.59432e-05,0,N1,Lumen
4.78297e-05,8.6268e+06,N0,Wall
4.78297e-05,0,N1,Wall
4.78297e-05,4.28e+07,N0,Lumen
4.78297e-05,0,N1,Lumen
0.000143489,8.6268e+06,N0,Wall
0.000143489,0,N1,Wall
0.000143489,4.28e+07,N0,Lumen
0.000143489,0,N1,Lumen
0.000430467,8.6268e+06,N0,Wall
0.000430467,0,N1,Wall
0.000430467,4.28e+07,N0,Lumen
0.000430467,0,N1,Lumen
0.0012914,8.6268e+06,N0,Wall
0.0012914,0,N1,Wall
0.0012914,4.28e+07,N0,Lumen
0.0012914,0,N1,Lumen
0.0038742,8.6268e+06,N0,Wall
0.0038742,0,N1,Wall
0.0038742,4.28e+07,N0,Lumen
0.0038742,0,N1,Lumen
0.0116226,8.6268e+06,N0,Wall
0.0116226,0,N1,Wall
0.0116226,4.28e+07,N0,Lumen
0.0116226,0,N1,Lumen
0.0348678,8.6268e+06,N0,Wall
0.0348678,0,N1,Wall
0.0348678,4.28e+07,N0,Lumen
0.0348678,0,N1,Lumen
0.104604,8.6268e+06,N0,Wall
0.104604,0,N1,Wall
0.104604,4.28e+07,N0,Lumen
0.104604,0,N1,Lumen
0.313811,8.6268e+06,N0,Wall
0.313811,0,N1,Wall
0.313811,4.28e+07,N0,Lumen
0.313811,0,N1,Lumen
